token	lemma	semantic_tags
Azerbajdzhan	Azerbajdzhan	Z2
Azores	Azores	Z2
Aztek	Aztek	T1.1.1/S2mf
BB	BB	Z3c
Babylon	Babylon	Z2 Z3
Babylon	Babylon	Z2 Z3c
Bach	Bach	Z1mf
Badwi	Badwi	Z2/S2mf
Bagdad	Bagdad	Z2
Baghdad	Baghdad	Z2
Bahamas	Bahamas	Z2
Bahamas	Bahamas	Z2/S2mf
Bahrain	Bahrain	Z2
Bahrein	Bahrein	Z2
Bailey	Bailey	Z2 Z1mf
Baitulmuqaddis	Baitulmuqaddis	Z2 Z3
Bakersfield	Bakersfield	Z2
Bale	Bale	Z2
Balfour	Balfour	Z1mf
Balkan	Balkan	Z2
Balkan	Balkan	Z2 Z2/S2mfnc
Balkans	Balkans	Z2
Baltimore	Baltimore	Z2
Bangkok	Bangkok	Z2
Bangladesh	Bangladesh	Z2
Bannister	Bannister	Z1mf
Bantu	Bantu	Z2/S2mf Z2/Q3
Barat	Barat	M6/S2mf
Barbados	Barbados	Z2 Z3c
Barbados	Barbados	Z2/S2mf
Barcelona	Barcelona	Z2 Z3c
Barnum	Barnum	Z1m Z3
Barrie	Barrie	Z1mf
Barrymore	Barrymore	Z1mf Z3c
Bartok	Bartok	Z1mf
Basel	Basel	Z2
Basle	Basle	Z2
Basutoland	Basutoland	Z2
Bath	Bath	Z2 Z3c
Bavaria	Bavaria	Z2
Bayonne	Bayonne	F1 A4.1
Bayrut	Bayrut	Z2
Beantown	Beantown	Z2
Beatrice	Beatrice	Z1f
Beaumont	Beaumont	Z1mf Z3 Z2
Beelzebub	Beelzebub	S9m
Beethoven	Beethoven	Z1mf
Beijing	Beijing	Z2 Z3c
Beirut	Beirut	Z2
Belanda	Belanda	Z2 Z2/Q3 Z2/S2mfnc
Belanda	Belanda	Z2 Z3c
Belanda	Belanda	Z2/S2mf
Belarus	Belarus	Z1 Z2
Belfast	Belfast	Z2
Belgique	Belgique	Z2
Belgium	Belgium	Z2
Belgium	Belgium	Z2/S2mf
Belgrade	Belgrade	Z2
Belize	Belize	Z2
Bell	Bell	Z3c
Belorussia	Belorussia	Z1 Z2
Belorussia	Belorussia	Z2/S2.2mf
Benelux	Benelux	M7
Benggala	Benggala	Z2
Benggali	Benggali	Z2/S2mf Z2/Q3
Benin	Benin	Z2
Benjamin	Benjamin	Z1mf
Bennett	Bennett	Z1mf
Benton	Benton	Z2
Beograd	Beograd	Z2
Berg	Berg	Z3
Berkeley	Berkeley	Z1mf Z2
Berlin	Berlin	Z2 Z1mf Z3c
Bern	Bern	Z2
Bernard	Bernard	Z1mf
Berne	Berne	Z2
Bernstein	Bernstein	Z1
Berry	Berry	Z1mf
Bethlehem	Bethlehem	Z2
Bethlehem-Judah	Bethlehem-Judah	Z2
Bharat	Bharat	Z2
Bhutan	Bhutan	Z2
Bhutan	Bhutan	Z2/S2mf
Birmingham	Birmingham	Z2
Blackbeard	Blackbeard	Z1mf
Blackpool	Blackpool	Z2
Blair	Blair	Z1
Blake	Blake	Z1mf
Bloomsbury	Bloomsbury	Z2
Bob	Bob	X2.6+ E4.1+ X9.2+ A5.1+
Bogart	Bogart	Z1mf
Bogota	Bogota	Z2
Bohemia	Bohemia	Z2
Bolingbroke	Bolingbroke	Z1mf
Bolivia	Bolivia	Z2 Z3c
Bolivia	Bolivia	Z2/S2mf
Bologna	Bologna	Z2
Bolshevik	Bolshevik	G1.2/S2mf
Bombay	Bombay	Z2
Bonaparte	Bonaparte	Z1m
Bond	Bond	Z1mf
Bordeaux	Bordeaux	Z2 F2
Borneo	Borneo	Z2
Bosch	Bosch	Z3c
Bosnia	Bosnia	Z2
Bosnia	Bosnia	Z2 Z3c
Bosnia	Bosnia	Z2/S2mf
Bosnia-Herzegovina	Bosnia-Herzegovina	Z2
Boston	Boston	Z2
Boswell	Boswell	Z3 Z1
Botswana	Botswana	Z2
Bowie	Bowie	Z1mf
Bradford	Bradford	Z2 Z1mf
Brahman	Brahman	S5+
Brahmin	Brahmin	S5+
Brahms	Brahms	Z1mf
Braille	Braille	Q1.2
Brasil	Brasil	Z2
Brasilia	Brasilia	Z2
Bratislava	Bratislava	Z2
Braun	Braun	Z1mf Z3c
Braunschweig	Braunschweig	Z1
Brazil	Brazil	Z2
Brazil	Brazil	Z2/S2mf
Brecht	Brecht	Z1mf
Breiz	Breiz	Z2
Brescia	Brescia	Z2
Bretagne	Bretagne	Z2
Bride	Bride	Z1f
Bridget	Bridget	Z1f
Bridgetown	Bridgetown	Z2
Brighton	Brighton	Z2
Brigid	Brigid	Z1f
Brisbane	Brisbane	Z2
Bristol	Bristol	Z2
Britain	Britain	Z2
Brittany	Brittany	Z2
Britten	Britten	Z1mf
Broadway	Broadway	Z2
Bronx	Bronx	Z2
Brooke	Brooke	Z1mf
Brown	Brown	Z1mf
Browne	Browne	Z1
Bruce	Bruce	Z1mf
Bruges	Bruges	Z2
Brummagem	Brummagem	Z2
Brunei	Brunei	Z2
Bruno	Bruno	Z1mf
Brunswick	Brunswick	Z1
Brussels	Brussels	Z2
Bruxelles	Bruxelles	Z2
Buchanan	Buchanan	Z1mf
Bucharest	Bucharest	Z2
Bucharesti	Bucharesti	Z2
Bucuresti	Bucuresti	Z2
Budapest	Budapest	Z2
Buddha	Buddha	Z1m S9
Buffalo	Buffalo	Z2
Bukarest	Bukarest	Z2
Bulgaria	Bulgaria	Z2
Bulgaria	Bulgaria	Z2/S2mf
Bumiputra	Bumiputra	M6/S2mf
Bumiputra	Bumiputra	M7/S2mf
Burk	Burk	Z1mf
Burke	Burke	Z1mf
Burlington	Burlington	Z2 Z3c
Burma	Burma	Z2
Burma	Burma	Z2/S2mf
Burnham	Burnham	Z2 Z1mf
Burnside	Burnside	Z1mf Z2
Burroughs	Burroughs	Z1mf
Burt	Burt	Z1m
Burton	Burton	Z1mf Z3c Z2
Burundi	Burundi	Z2
Bush	Bush	Z3c Z1mf
Butler	Butler	Z1mf Z3c
Byelarus	Byelarus	Z1 Z2
Byelorussia	Byelorussia	Z1 Z2
C	C	Z5 K2 P1/A5.1 Y2 O4.6
Cad	Cad	Z2 Z1m
Caesar	Caesar	Z1m/T1.1.1
Cairo	Cairo	Z2
Calais	Calais	Z2
Calcutta	Calcutta	Z2
Calgary	Calgary	Z2
Calif.	Calif.	Z2
California	California	Z2
Caligula	Caligula	Z1m
Callas	Callas	Z1mf
Calvados	Calvados	Z2 F2
Cambodia	Cambodia	Z2
Cambria	Cambria	Z2 Z1mf
Cambridge	Cambridge	Z2
Camden	Camden	Z2c
Camelot	Camelot	Z2/S9
Cameroon	Cameroon	Z2
Cameroun	Cameroun	Z2
Campbell	Campbell	Z1mf
Canaan	Canaan	Z2
Canada	Canada	Z2
Cannes	Cannes	Z2
Canterbury	Canterbury	Z2 Z1mf
Canton	Canton	Z2
Cardiff	Cardiff	Z2
Caribbean	Caribbean	Z2
Carlos	Carlos	Z1mf
Carmichael	Carmichael	Z1mf
Carnegie	Carnegie	Z1mf Z3c
Carolina	Carolina	Z2
Carolinas	Carolinas	Z2
Carolus	Carolus	Z1m
Casablanca	Casablanca	Z2 Z3
Cashmere	Cashmere	Z2
Caspar	Caspar	Z1m
Casper	Casper	Z1m
Cassandra	Cassandra	Z1f
Cassius	Cassius	Z1m
Castro	Castro	Z1mf
Cathay	Cathay	Z2
Catherine	Catherine	Z1f
Caucasia	Caucasia	Z2
Caucasus	Caucasus	Z2
Cavendish	Cavendish	Z1mf
Caxton	Caxton	Z1mf Z3c
Celt	Celt	Z2/S2mf
Chad	Chad	Z2 Z1m
Chamberlain	Chamberlain	Z1mf
Chambers	Chambers	Z3c Z1mf
Champaign	Champaign	Z2
Chandler	Chandler	Z1mf
Changan	Changan	Z1f
Chaplin	Chaplin	Z1mf
Charlemagne	Charlemagne	Z1m
Charles	Charles	Z1m
Charleston	Charleston	K1
Charlotte	Charlotte	Z1f
Chaucer	Chaucer	Z1m
Cheddar	Cheddar	Z2
Chennai	Chennai	Z2 F1
Cherbourg	Cherbourg	Z2
Chernobyl	Chernobyl	Z2 Z3c
Chester	Chester	Z2 Z1mf
Chesterfield	Chesterfield	Z2 Z3c Z1mf
Chicago	Chicago	Z2 Z3c
Chico	Chico	Z1mf
Chile	Chile	Z2
China	China	Z2
Christ	Christ	Z1m Z1m/S9 Z4
Christchurch	Christchurch	Z2
Christiania	Christiania	Z2
Christie	Christie	Z1mf
Christopher	Christopher	Z1m
Churchill	Churchill	Z1mf
Cile	Cile	Z2
Cina	Cina	Z2
Cinderella	Cinderella	Z1f Z3
Clark	Clark	Z1mf
Claudius	Claudius	Z1m
Cleopatra	Cleopatra	Z1f Z1f/T1.1.1
Cleveland	Cleveland	Z2 Z3c Z1mf
Clinton	Clinton	Z1mf
Clive	Clive	Z1mf
Cnossos	Cnossos	Z2
Cnossus	Cnossus	Z2
Cohn	Cohn	Z1
Coke	Coke	Z3
Collins	Collins	Z1mf
Cologne	Cologne	Z2
Colombia	Colombia	Z2
Colombo	Colombo	Z1mf Z3
Colon	Colon	Z2
Colorado	Colorado	Z2 Z3c
Columbia	Columbia	Z2 Z3c
Columbus	Columbus	Z1m Z2
Comoros	Comoros	Z2
Concord	Concord	Z3fn Z2
Confederacy	Confederacy	Z2c
Confucius	Confucius	Z1m
Connecticut	Connecticut	Z2
Connors	Connors	Z3c
Conrad	Conrad	Z1mf
Constable	Constable	Z1mf
Constantinople	Constantinople	Z2
Cook	Cook	Z1mf
Cooke	Cooke	Z1mf
Cooper	Cooper	Z1mf
Copenhagen	Copenhagen	Z2
Cordoba	Cordoba	Z2
Cordova	Cordova	Z2
Corelli	Corelli	Z1
Cork	Cork	Z2
Cornwall	Cornwall	Z2
Corse	Corse	Z2
Corsica	Corsica	Z2
Coventry	Coventry	Z2
Crane	Crane	Z1mf
Crawford	Crawford	Z1mf
Crete	Crete	Z2
Croatia	Croatia	Z2
Cromwell	Cromwell	Z1mf Z2
Crosby	Crosby	Z2 Z1mf
Cuba	Cuba	Z2
Cumberland	Cumberland	Z2
Cumbria	Cumbria	Z2 Z3c
Cunningham	Cunningham	Z1
Curie	Curie	Z1mf Z3c
Curtis	Curtis	Z1m
Cushing	Cushing	Z1mf
Cymru	Cymru	Z2 Z1mf
Cyprus	Cyprus	Z2
Czechoslovakia	Czechoslovakia	Z2
D	D	Z5
D.C.	D.C.	Z2 Z3c
DC	DC	Z2 Z3c
Dahomey	Dahomey	Z2
Daimler	Daimler	Z3fnc
Dakota	Dakota	Z2
Dallas	Dallas	Z2 Z3
Damascus	Damascus	Z2
Damon	Damon	Z1m
Damsyik	Damsyik	Z2
Daniel	Daniel	Z1m
Danmark	Danmark	Z2 Z1mf Z3c
Darjiling	Darjiling	Z2 F2
Darussalam	Darussalam	Z2
Darwin	Darwin	Z1mf Z2
Davenport	Davenport	Z1mf Z2
David	David	Z1m
Davis	Davis	Z1mf
Davy	Davy	Z1mf
Davys	Davys	Z1mf
Dawson	Dawson	Z1mf
Dean	Dean	Z1mf
Decker	Decker	Z3mf
Dekker	Dekker	Z3mf
Delaware	Delaware	Z2
Delhi	Delhi	Z2
Deliverer	Deliverer	Z1m Z1m/S9 Z4
Delphi	Delphi	Z3c
Demetrius	Demetrius	Z1m
Denmark	Denmark	Z2 Z1mf Z3c
Denmark	Denmark	Z2/Q3 F1
Denmark	Denmark	Z2/S2mf
Denver	Denver	Z2 Z1mf
Detroit	Detroit	Z2
Deutschland	Deutschland	Z2
Diana	Diana	Z1f
Dickens	Dickens	Z1mf
Dido	Dido	Z1f
Dimash	Dimash	Z2
Diogenes	Diogenes	Z1m
Dis	Dis	T1.3
Dis.	Dis.	T1.3
Disember	Disember	T1.3
Disney	Disney	Z3c Z1mf
Disneyland	Disneyland	Z2 Z3c
Dixie	Dixie	Z2c
Dixieland	Dixieland	Z2c
Djakarta	Djakarta	Z2
Djibouti	Djibouti	Z2
Dolby	Dolby	Z1mf K3
Dominic	Dominic	Z1m
Dominica	Dominica	S9/S2mf Z3c
Dominica	Dominica	Z2
Dominika	Dominika	Z2
Douglas	Douglas	Z1m
Dover	Dover	Z2
Down	Down	Z1mf
Dr	Dr	B3 A2.1+/G2.1-
Dr	Dr	B3/S2mf
Dracula	Dracula	Z1m
Drake	Drake	Z1mf
Dreyfus	Dreyfus	Z1mf
Dubai	Dubai	Z2
Dublin	Dublin	Z2
Dubya	Dubya	Z3c Z1mf
Dubyuh	Dubyuh	Z3c Z1mf
Dulles	Dulles	Z1
Dumas	Dumas	Z1mf
Duncan	Duncan	Z1m
Dunkerque	Dunkerque	Z2
Dunkirk	Dunkirk	Z2
Durban	Durban	Z2
Durham	Durham	Z2 Z1mf
Duruzi	Duruzi	S9/S2mf
Dusseldorf	Dusseldorf	Z2
Dylan	Dylan	Z1m
Eccles	Eccles	Z2
Ecuador	Ecuador	Z2
Eddy	Eddy	Z1m
Edgar	Edgar	Z1m
Edinburgh	Edinburgh	Z2
Edmonton	Edmonton	Z2
Edo	Edo	Z2
Edward	Edward	Z1m
Edwin	Edwin	Z1m
Egypt	Egypt	Z2
Eiffel	Eiffel	Z1mf
Einstein	Einstein	Z1mf
Eire	Eire	Z2 Z1mf
El-Aksur	El-Aksur	Z2
Eliot	Eliot	Z1m
Elizabeth	Elizabeth	Z1f
Ellas	Ellas	Z2
Elsass	Elsass	Z2 F2@
Engels	Engels	Z1
England	England	Z2 Z1mf
Enid	Enid	Z1f
Ephesus	Ephesus	Z2
Eritrea	Eritrea	Z2
Eropah	Eropah	Z2
Eropah	Eropah	Z3
Eskimo	Eskimo	Z2/S2mfc
Espana	Espana	Z2
Essex	Essex	Z2 Z1m
Esther	Esther	Z1f
Esthonia	Esthonia	Z2
Estonia	Estonia	Z2
Ethiopia	Ethiopia	Z2
Ethiopia	Ethiopia	Z2/S2mf Z2/Q3
Etiopia	Etiopia	Z2
Etiopia	Etiopia	Z2/S2mf Z2/Q3
Euclid	Euclid	Z1m
Eukaris	Eukaris	S9
Euphrates	Euphrates	Z2
Eureka	Eureka	Z4
Evans	Evans	Z1mf
Eve	Eve	Z1f
Excalibur	Excalibur	Z3/G3
Ezra	Ezra	Z1m
FAO	FAO	Z3
Fahd	Fahd	Z1mf
Fahrenheit	Fahrenheit	O4.6
Farrell	Farrell	Z1mf
Fatima	Fatima	Z2 Z1f
Fatimah	Fatimah	Z2 Z1f
Feb	Feb	T1.3
Feb.	Feb.	T1.3
Februari	Februari	T1.3
Ferdinand	Ferdinand	Z1m
Feringgi	Feringgi	Z2 Z3c
Fes	Fes	Z2
Fez	Fez	Z2
Fielding	Fielding	Z1mf
Fiji	Fiji	Z2 Z3c
Fiji	Fiji	Z2/S2mf
Filipina	Filipina	Z2
Filipina	Filipina	Z2/S2mf
Finland	Finland	Z1mf
Finland	Finland	Z2
Firaun	Firaun	S7.1+/S2.2m
Firenze	Firenze	Z2 Z1f
Fischer	Fischer	Z3 Z1mf
Fitzgerald	Fitzgerald	Z1
Flanders	Flanders	Z2
Fleming	Fleming	Z1
Flint	Flint	Z1mf
Florence	Florence	Z2 Z1f
Florida	Florida	Z2
Fonda	Fonda	Z1mf
Ford	Ford	Z1mf Z3c/M3
Forester	Forester	Z1mf
Fortran	Fortran	Y2
Foster	Foster	Z1mf
Fox	Fox	Z1mf
Franc	Franc	I1
France	France	Z2 Z1mf
Franco	Franco	Z1mf
Frankenstein	Frankenstein	Z1mf Z3
Frankfort	Frankfort	Z2 Z3c
Frankfurt	Frankfurt	Z2 Z3c
Franklin	Franklin	Z1m
Frazer	Frazer	Z1mf
Frederick	Frederick	Z1m
Freetown	Freetown	Z2
French	French	Z2/S2mf Z2/Q3
Freud	Freud	Z1mf
Frost	Frost	Z1mf
Fucking	Fucking	S3.2/B1 E6+
Fuji	Fuji	Z3c
Fujian	Fujian	Z2
Fujiyama	Fujiyama	Z3c
GATT	GATT	Z3
GMT	GMT	Z3/T1
Gabon	Gabon	Z2
Gabon	Gabon	Z2/S2mf
Gabun	Gabun	Z2
Gainsborough	Gainsborough	Z1mf Z3c
Gaius	Gaius	Z1m
Galbraith	Galbraith	Z1mf
Galilee	Galilee	Z2
Gallia	Gallia	Z2
Galloway	Galloway	Z2 Z1mf
Gallup	Gallup	Z3c
Galway	Galway	Z2 Z1mf
Gambia	Gambia	Z2
Gand	Gand	Z2
Gardiner	Gardiner	Z1mf
Gardner	Gardner	Z1mf
Garland	Garland	Z1mf Z3c
Gary	Gary	Z1m
Gascogne	Gascogne	Z2
Gascony	Gascony	Z2
Gaspar	Gaspar	Z1m
Gautama	Gautama	Z1m S9
Gaza	Gaza	Z2
Gemini	Gemini	S9 S9/S2mf Z3c
Geneva	Geneva	Z2 Z3c
Geneve	Geneve	Z2 Z3c
Genf	Genf	Z2 Z3c
Genoa	Genoa	Z2
Genova	Genova	Z2
Gent	Gent	Z2
George	George	Z1m
Georgetown	Georgetown	Z2
Georgia	Georgia	Z2 Z1f
Germany	Germany	Z2
Ghana	Ghana	Z2 Z3c
Ghana	Ghana	Z2/S2mf
Ghent	Ghent	Z2
Gibbs	Gibbs	Z1mf Z3c
Gibraltar	Gibraltar	Z2
Gibson	Gibson	Z1mf Z3
Gilbert	Gilbert	Z1mf
Giza	Giza	Z2
Gizeh	Gizeh	Z2
Gladstone	Gladstone	Z1mf
Glasgow	Glasgow	Z2
Glendower	Glendower	Z1mf
Glenn	Glenn	Z1mf
Gloucester	Gloucester	Z2 Z1mf
Goa	Goa	Z2
Goeteborg	Goeteborg	Z2
Gogh	Gogh	Z1mf
Goldberg	Goldberg	Z1mf
Goldman	Goldman	Z1
Goldsmith	Goldsmith	Z1mf
Goldwyn	Goldwyn	Z1mf
Goodman	Goodman	Z1mf
Goodyear	Goodyear	Z3c Z1mf
Goofy	Goofy	Z3m
Gorbachev	Gorbachev	Z1mf
Goteborg	Goteborg	Z2
Gothenburg	Gothenburg	Z2
Gould	Gould	Z1mf
Goya	Goya	Z1mf
Gracie	Gracie	Z1mf
Graham	Graham	Z1mf
Grainger	Grainger	Z2 Z1mf
Granada	Granada	Z3c Z2
Grant	Grant	Z1mf
Gray	Gray	Z1mf
Greece	Greece	Z2
Greek	Greek	Z2/S2mf
Greene	Greene	Z1mf
Greenland	Greenland	Z2
Greenwich	Greenwich	Z2
Gregory	Gregory	Z1mf
Grenada	Grenada	Z2
Grenoble	Grenoble	Z2 Z3c
Gresham	Gresham	Z1mf
Grey	Grey	Z1mf
Griffith	Griffith	Z1mf
Grimm	Grimm	Z1mf
Groucho	Groucho	Z1mf
Groves	Groves	Z3c
Guadeloupe	Guadeloupe	Z2
Guangdong	Guangdong	Z2
Guangzhou	Guangzhou	Z2
Guatemala	Guatemala	Z2
Guatemala	Guatemala	Z2/S2mf
Guine-Bissau	Guine-Bissau	Z2
Guinea	Guinea	I1
Guinea	Guinea	Z2
Guinea	Guinea	Z2/S2mf
Guinea-Bissau	Guinea-Bissau	Z2
Guinness	Guinness	Z3c Z1mf
Gujarat	Gujarat	Z2
Gujerat	Gujerat	Z2
Guthrie	Guthrie	Z3c
Guyana	Guyana	Z2
Habsyah	Habsyah	Z2
Hadrian	Hadrian	Z1m
Haiti	Haiti	Z2
Haiti	Haiti	Z2/S2mf
Hale	Hale	Z1mf Z2
Haley	Haley	Z1mf
Halifax	Halifax	Z2 Z3c
Halle	Halle	Z2 Z3c Z1mf
Halloween	Halloween	T1.3/S9
Hamburg	Hamburg	Z2 Z3c
Hamilton	Hamilton	Z1mf Z2 Z3c
Hamlet	Hamlet	Z1m Z1/K4
Hampton	Hampton	Z2 Z1mf
Hancock	Hancock	Z1mf
Hanks	Hanks	Z1mf
Hannover	Hannover	Z2
Hanoi	Hanoi	Z2
Hanover	Hanover	Z2
Harare	Harare	Z2 Z1mf
Harding	Harding	Z1mf
Hardy	Hardy	Z1mf
Harpo	Harpo	Z1mf
Harris	Harris	Z1mf Z2 Z3c
Harrison	Harrison	Z1mf
Hartley	Hartley	Z1mf Z2
Harvard	Harvard	Z1mf Z3c
Harvey	Harvey	Z1mf
Hastings	Hastings	Z1mf Z2
Havana	Havana	Z2
Hawaii	Hawaii	Z2
Hawkins	Hawkins	Z1
Hawkyns	Hawkyns	Z1
Hayastan	Hayastan	Z2
Haydn	Haydn	Z1mf
Hayes	Hayes	Z2 Z1mf
Hebei	Hebei	Z2
Heinz	Heinz	Z3c Z1mf
Helena	Helena	Z1f
Helsingfors	Helsingfors	Z2 Z3c
Helsinki	Helsinki	Z2 Z3c
Hendrix	Hendrix	Z1mf
Herbert	Herbert	Z1m
Herman	Herman	Z1m
Hermes	Hermes	Z3c
Heron	Heron	Z3c Z1mf
Hessian	Hessian	O1.1 O4.5
Hezbollah	Hezbollah	Z3
Hildebrand	Hildebrand	Z1mf
Himalaya	Himalaya	Z2
Hindu	Hindu	S9/S2mf
Hinduisme	Hinduisme	S9
Hindustan	Hindustan	S9/S2mf
Hiroshima	Hiroshima	Z2
Hispanik	Hispanik	Z2
Hispaniola	Hispaniola	Z2
Hitchcock	Hitchcock	Z1mf
Hitler	Hitler	Z1mf
Hizbullah	Hizbullah	Z3
Hogan	Hogan	Z1mf
Hogarth	Hogarth	Z1
Holland	Holland	Z2 Z3c
Holly	Holly	Z1f
Hollywood	Hollywood	Z2
Holmes	Holmes	Z1mf
Homer	Homer	Z1m
Honduras	Honduras	Z2
Honduras	Honduras	Z2/S2mf
Honshū	Honshū	Z2
Hooker	Hooker	Z1mf
Hoover	Hoover	Z3c Z1mf
Hopeh	Hopeh	Z2
Hopei	Hopei	Z2
Hopkins	Hopkins	Z1mf
Horne	Horne	Z1mf
Hotspur	Hotspur	Z1mf
Houston	Houston	Z2
Howard	Howard	Z1mf
Howe	Howe	Z1mf
Howells	Howells	Z1mf
Hrolf	Hrolf	Z1m
Hrvatska	Hrvatska	Z2
Hsian	Hsian	Z1f
Hudson	Hudson	Z1mf
Hughes	Hughes	Z1mf
Hugo	Hugo	Z1mf
Huguenot	Huguenot	S9/S2mf
Hull	Hull	Z2 Z1mf
Hume	Hume	Z1mf Z2 Z3c
Hungari	Hungari	Z2 Z3c
Hungary	Hungary	Z2 Z3c
Hungary	Hungary	Z2/S2mf
Hunt	Hunt	Z1mf
Husain	Husain	Z1mf
Husayn	Husayn	Z1mf
Hussein	Hussein	Z1mf
Hutchins	Hutchins	Z1m
IQ	IQ	X9.1
Iberia	Iberia	Z3c Z2
Ibrahim	Ibrahim	Z1m
Ibrani	Ibrani	S9/S2.2m
Iceland	Iceland	Z2 Z3c
Idaho	Idaho	Z2
Imamat	Imamat	S9/Q4.1
India	India	Z2
Indiana	Indiana	Z2
Indianapolis	Indianapolis	Z2
Indonesia	Indonesia	Z2/S2mf
Inggeris	Inggeris	Z1mf
Inggeris	Inggeris	Z2 Z1mf
Inggeris-Saxon	Inggeris-Saxon	Z2/S5 Q3
Injil	Injil	S9/Q4.1
Iowa	Iowa	Z2
