lemma	semantic_tags
Cordova	Z2
Corelli	Z1
Cork	Z2
Cornwall	Z2
Corse	Z2
Corsica	Z2
Coventry	Z2
Crane	Z1mf
Crawford	Z1mf
Crete	Z2
Croatia	Z2
Cromwell	Z1mf Z2
Crosby	Z2 Z1mf
Cuba	Z2
Cumberland	Z2
Cumbria	Z2 Z3c
Cunningham	Z1
Curie	Z1mf Z3c
Curtis	Z1m
Cushing	Z1mf
Cymru	Z2 Z1mf
Cyprus	Z2
Czechoslovakia	Z2
D	Z5
D.C.	Z2 Z3c
DC	Z2 Z3c
Dahomey	Z2
Daimler	Z3fnc
Dakota	Z2
Dallas	Z2 Z3
Damascus	Z2
Damon	Z1m
Damsyik	Z2
Daniel	Z1m
Danmark	Z2 Z1mf Z3c
Darjiling	Z2 F2
Darussalam	Z2
Darwin	Z1mf Z2
Davenport	Z1mf Z2
David	Z1m
Davis	Z1mf
Davy	Z1mf
Davys	Z1mf
Dawson	Z1mf
Dean	Z1mf
Decker	Z3mf
Dekker	Z3mf
Delaware	Z2
Delhi	Z2
Deliverer	Z1m Z1m/S9 Z4
Delphi	Z3c
Demetrius	Z1m
Denmark	Z2 Z1mf Z3c
Denmark	Z2/Q3 F1
Denmark	Z2/S2mf
Denver	Z2 Z1mf
Detroit	Z2
Deutschland	Z2
Diana	Z1f
Dickens	Z1mf
Dido	Z1f
Dimash	Z2
Diogenes	Z1m
Dis	T1.3
Dis.	T1.3
Disember	T1.3
Disney	Z3c Z1mf
Disneyland	Z2 Z3c
Dixie	Z2c
Dixieland	Z2c
Djakarta	Z2
Djibouti	Z2
Dolby	Z1mf K3
Dominic	Z1m
Dominica	S9/S2mf Z3c
Dominica	Z2
Dominika	Z2
Douglas	Z1m
Dover	Z2
Down	Z1mf
Dr	B3 A2.1+/G2.1-
Dr	B3/S2mf
Dracula	Z1m
Drake	Z1mf
Dreyfus	Z1mf
Dubai	Z2
Dublin	Z2
Dubya	Z3c Z1mf
Dubyuh	Z3c Z1mf
Dulles	Z1
Dumas	Z1mf
Duncan	Z1m
Dunkerque	Z2
Dunkirk	Z2
Durban	Z2
Durham	Z2 Z1mf
Duruzi	S9/S2mf
Dusseldorf	Z2
Dylan	Z1m
Eccles	Z2
Ecuador	Z2
Eddy	Z1m
Edgar	Z1m
Edinburgh	Z2
Edmonton	Z2
Edo	Z2
Edward	Z1m
Edwin	Z1m
Egypt	Z2
Eiffel	Z1mf
Einstein	Z1mf
Eire	Z2 Z1mf
El-Aksur	Z2
Eliot	Z1m
Elizabeth	Z1f
Ellas	Z2
Elsass	Z2 F2@
Engels	Z1
England	Z2 Z1mf
Enid	Z1f
Ephesus	Z2
Eritrea	Z2
Eropah	Z2
Eropah	Z3
Eskimo	Z2/S2mfc
Espana	Z2
Essex	Z2 Z1m
Esther	Z1f
Esthonia	Z2
Estonia	Z2
Ethiopia	Z2
Ethiopia	Z2/S2mf Z2/Q3
Etiopia	Z2
Etiopia	Z2/S2mf Z2/Q3
Euclid	Z1m
Eukaris	S9
Euphrates	Z2
Eureka	Z4
Evans	Z1mf
Eve	Z1f
Excalibur	Z3/G3
Ezra	Z1m
FAO	Z3
Fahd	Z1mf
Fahrenheit	O4.6
Farrell	Z1mf
Fatima	Z2 Z1f
Fatimah	Z2 Z1f
Feb	T1.3
Feb.	T1.3
Februari	T1.3
Ferdinand	Z1m
Feringgi	Z2 Z3c
Fes	Z2
Fez	Z2
Fielding	Z1mf
Fiji	Z2 Z3c
Fiji	Z2/S2mf
Filipina	Z2
Filipina	Z2/S2mf
Finland	Z1mf
Finland	Z2
Firaun	S7.1+/S2.2m
Firenze	Z2 Z1f
Fischer	Z3 Z1mf
Fitzgerald	Z1
Flanders	Z2
Fleming	Z1
Flint	Z1mf
Florence	Z2 Z1f
Florida	Z2
Fonda	Z1mf
Ford	Z1mf Z3c/M3
Forester	Z1mf
Fortran	Y2
Foster	Z1mf
Fox	Z1mf
Franc	I1
France	Z2 Z1mf
Franco	Z1mf
Frankenstein	Z1mf Z3
Frankfort	Z2 Z3c
Frankfurt	Z2 Z3c
Franklin	Z1m
Frazer	Z1mf
Frederick	Z1m
Freetown	Z2
French	Z2/S2mf Z2/Q3
Freud	Z1mf
Frost	Z1mf
Fucking	S3.2/B1 E6+
Fuji	Z3c
Fujian	Z2
Fujiyama	Z3c
GATT	Z3
GMT	Z3/T1
Gabon	Z2
Gabon	Z2/S2mf
Gabun	Z2
Gainsborough	Z1mf Z3c
Gaius	Z1m
Galbraith	Z1mf
Galilee	Z2
Gallia	Z2
Galloway	Z2 Z1mf
Gallup	Z3c
Galway	Z2 Z1mf
Gambia	Z2
Gand	Z2
Gardiner	Z1mf
Gardner	Z1mf
Garland	Z1mf Z3c
Gary	Z1m
Gascogne	Z2
Gascony	Z2
Gaspar	Z1m
Gautama	Z1m S9
Gaza	Z2
Gemini	S9 S9/S2mf Z3c
Geneva	Z2 Z3c
Geneve	Z2 Z3c
Genf	Z2 Z3c
Genoa	Z2
Genova	Z2
Gent	Z2
George	Z1m
Georgetown	Z2
Georgia	Z2 Z1f
Germany	Z2
Ghana	Z2 Z3c
Ghana	Z2/S2mf
Ghent	Z2
Gibbs	Z1mf Z3c
Gibraltar	Z2
Gibson	Z1mf Z3
Gilbert	Z1mf
Giza	Z2
Gizeh	Z2
Gladstone	Z1mf
Glasgow	Z2
Glendower	Z1mf
Glenn	Z1mf
Gloucester	Z2 Z1mf
Goa	Z2
Goeteborg	Z2
Gogh	Z1mf
Goldberg	Z1mf
Goldman	Z1
Goldsmith	Z1mf
Goldwyn	Z1mf
Goodman	Z1mf
Goodyear	Z3c Z1mf
Goofy	Z3m
Gorbachev	Z1mf
Goteborg	Z2
Gothenburg	Z2
Gould	Z1mf
Goya	Z1mf
Gracie	Z1mf
Graham	Z1mf
Grainger	Z2 Z1mf
Granada	Z3c Z2
Grant	Z1mf
Gray	Z1mf
Greece	Z2
Greek	Z2/S2mf
Greene	Z1mf
Greenland	Z2
Greenwich	Z2
Gregory	Z1mf
Grenada	Z2
Grenoble	Z2 Z3c
Gresham	Z1mf
Grey	Z1mf
Griffith	Z1mf
Grimm	Z1mf
Groucho	Z1mf
Groves	Z3c
Guadeloupe	Z2
Guangdong	Z2
Guangzhou	Z2
Guatemala	Z2
Guatemala	Z2/S2mf
Guine-Bissau	Z2
Guinea	I1
Guinea	Z2
Guinea	Z2/S2mf
Guinea-Bissau	Z2
Guinness	Z3c Z1mf
Gujarat	Z2
Gujerat	Z2
Guthrie	Z3c
Guyana	Z2
Habsyah	Z2
Hadrian	Z1m
Haiti	Z2
Haiti	Z2/S2mf
Hale	Z1mf Z2
Haley	Z1mf
Halifax	Z2 Z3c
Halle	Z2 Z3c Z1mf
Halloween	T1.3/S9
Hamburg	Z2 Z3c
Hamilton	Z1mf Z2 Z3c
Hamlet	Z1m Z1/K4
Hampton	Z2 Z1mf
Hancock	Z1mf
Hanks	Z1mf
Hannover	Z2
Hanoi	Z2
Hanover	Z2
Harare	Z2 Z1mf
Harding	Z1mf
Hardy	Z1mf
Harpo	Z1mf
Harris	Z1mf Z2 Z3c
Harrison	Z1mf
Hartley	Z1mf Z2
Harvard	Z1mf Z3c
Harvey	Z1mf
Hastings	Z1mf Z2
Havana	Z2
Hawaii	Z2
Hawkins	Z1
Hawkyns	Z1
Hayastan	Z2
Haydn	Z1mf
Hayes	Z2 Z1mf
Hebei	Z2
Heinz	Z3c Z1mf
Helena	Z1f
Helsingfors	Z2 Z3c
Helsinki	Z2 Z3c
Hendrix	Z1mf
Herbert	Z1m
Herman	Z1m
Hermes	Z3c
Heron	Z3c Z1mf
Hessian	O1.1 O4.5
Hezbollah	Z3
Hildebrand	Z1mf
Himalaya	Z2
Hindu	S9/S2mf
Hinduisme	S9
Hindustan	S9/S2mf
Hiroshima	Z2
Hispanik	Z2
Hispaniola	Z2
Hitchcock	Z1mf
Hitler	Z1mf
Hizbullah	Z3
Hogan	Z1mf
Hogarth	Z1
Holland	Z2 Z3c
Holly	Z1f
Hollywood	Z2
Holmes	Z1mf
Homer	Z1m
Honduras	Z2
Honduras	Z2/S2mf
Honshū	Z2
Hooker	Z1mf
Hoover	Z3c Z1mf
Hopeh	Z2
Hopei	Z2
Hopkins	Z1mf
Horne	Z1mf
Hotspur	Z1mf
Houston	Z2
Howard	Z1mf
Howe	Z1mf
Howells	Z1mf
Hrolf	Z1m
Hrvatska	Z2
Hsian	Z1f
Hudson	Z1mf
Hughes	Z1mf
Hugo	Z1mf
Huguenot	S9/S2mf
Hull	Z2 Z1mf
Hume	Z1mf Z2 Z3c
Hungari	Z2 Z3c
Hungary	Z2 Z3c
Hungary	Z2/S2mf
Hunt	Z1mf
Husain	Z1mf
Husayn	Z1mf
Hussein	Z1mf
Hutchins	Z1m
IQ	X9.1
Iberia	Z3c Z2
Ibrahim	Z1m
Ibrani	S9/S2.2m
Iceland	Z2 Z3c
Idaho	Z2
Imamat	S9/Q4.1
India	Z2
Indiana	Z2
Indianapolis	Z2
Indonesia	Z2/S2mf
Inggeris	Z1mf
Inggeris	Z2 Z1mf
Inggeris-Saxon	Z2/S5 Q3
Injil	S9/Q4.1
Iowa	Z2
Irak	Z2 Z3c
Iran	Z2 Z3c
Iran	Z2/S2mf Z2/Q3
Iraq	Z2 Z3c
Iraq	Z2/S2mf
Ireland	Z2 Z1mf
Ireland	Z2/S2mf Z2/Q3
Ironsides	Z1mf Z2
Irving	Z1mf Z3c
Isaac	Z1m
Isabella	Z1f
Isaiah	Z1m
Iskandariah	Z1f Z2
Islam	S9
Islamabad	Z2
Isn	T1.3
Isnin	T1.3
Israel	Z2
Israel	Z2/S2mf
Istanbul	Z2
Itali	Z2
Itali	Z2/S2mf Z2/Q3 F1
Italia	Z2
Italy	Z2
Ithaca	Z2
Ives	Z1mf
Izmir	Z2
J	Z5
Jackson	Z1mf
Jacob	Z1m
Jacobs	Z3c Z1mf
Jagger	Z1mf
Jakarta	Z2
Jamaica	Z2
Jamaica	Z2/S2mf
Jamaika	Z2
James	Z1m
Jan	T1.3
Jan.	T1.3
Januari	T1.3
Java	Z2
Jay	Z1mf
Jenny	Z1f
Jepun	Z2/S2mfnc
Jerman	Z1mf
Jerman	Z2
Jerman	Z2/Q3
Jerman	Z2/S2mf Z2/Q3
Jersey	Z2
Jerusalem	Z2 Z3
Jesus	Z1m Z1m/S9 Z4
Jibouti	Z2
Jibrail	Z1mf
Joel	Z1m
Johannesburg	Z2
John	B4/H5 B4/H1
John	G2.2-
John	Z1m S9/O1.2
Johnson	Z1mf
Jonah	Z1m
Jones	Z1mf
Jordan	Z2 Z1mf
Jordan	Z2/S2mf
Joseph	Z1m
Joshua	Z1m
Joyce	Z1mf
Judas	Z1 G2.2-/S2mf
Judas	Z1mf
Jude	Z1mf
Judith	Z1f
Jugoslavija	Z2 Z3c
Julian	Z1m
Jum	T1.3
Jumaat	T1.3
Jupiter	Z1/W1 S9/T1.1.1@
K2	Z3c
KGB	Z3c
Kalahari	Z2
Kalimantan	Z2
Kamerun	Z2
Kampala	Z2
Kampuchea	Z2
Kampuchea	Z2/S2mf
Kanaan	Z2
Kanada	Z2
Kantonis	Z2
Karachi	Z2
Kashmir	Z2
Kashmir	Z2/S2mf
Kathmandu	Z2
Katmandu	Z2
Kawasaki	Z2
Kazak	Z2
Kazakh	Z2
Kazakhstan	Z2
Kazakstan	Z2
Keats	Z1mf
Keble	Z3c Z1mf
Kelly	Z1mf
Kelt	Z2/S2mf
Kendall	Z1mf
Kennedy	Z1mf
Kent	Z2 Z1mf
Kentucky	Z2
Kenya	Z2
Keynes	Z1mf
Khamis	T1.3
Khrushchev	Z1
Kibris	Z2
Kiev	Z2 Z3c
Kilroy	Z1mf Z3c
Kimberley	Z1f Z2
Kingmaker	Z2 Z1mf
Kingston	Z2 Z1mf
Kipling	Z1mf
Kirghiz	Z2
Kirghizia	Z2
Kirghizstan	Z2
Kirgiz	Z2
Kirgizia	Z2
Kirgizstan	Z2
Kiribati	Z2
Kitchener	Z1mf
Klein	Z1mf
Knossos	Z2
Knox	Z1mf
Kobe	Z2
Kobenhavn	Z2
Kolkata	Z2
Koln	Z2
Konfusianisme	X2.1
Kongfuze	Z1m
Kopenhagen	Z2
Korea	Z2
Korea	Z2/S2mf Z2/Q3
Kosciusko	Z2
Kosciuszko	Z2
Koweit	Z2
Krishna	Z1m
Krismas	S9/T1.3
Kristian	Z1mf
Kristianiti	S9
Kriti	Z2
Kuangchou	Z2
Kubti	X7+
Kurdish	Z2
Kuwait	Z2
Kuwait	Z2/S2mf
Kwangchow	Z2
Kwangtung	Z2
Kyrgyzstan	Z2
Kyushu	Z2
Kyyiv	Z2 Z3c
Labrador	Z2
Lagos	Z2
Lahore	Z2
Lakeland	Z3c Z2
Lancashire	Z2 Z1mf
Lancaster	Z2 Z1mf Z3mfnc
Langley	Z1mf Z2
Lao	Z2/S2mf
Lapland	Z2
Lappland	Z2
Latin	Z2/Q3 Z2/S2mf
Latium	Z3
Latvia	Z2
Laurel	Z1mf
Laurens	Z3c
Laurentius	Z1mf
Lawrence	Z1mf
Lazarus	Z1m
Lazio	Z3
Lear	Z1m Z3
Lebanon	Z2
Lee	Z1mf
Leeds	Z2 Z3c
Leicester	Z2 Z3c
Leigh	Z2 Z1mf
Lenin	Z1m
Leningrad	Z2 Z3c
Leninisme	G1.2/X2.1
Lennon	Z1mf
Leo	Z1m S9/S2mf S9
Leon	Z1m
Leonardo	Z1m
Lesotho	Z2
Levant	Z1m
Levi	Z1m S9/O1.2
Levite	Z1m S9/O1.2
Leviticus	S9/Q4.1
Lewi	Z1m S9/O1.2
Lewis	Z1m
Liberia	Z2
Liberia	Z2/S2mf
Libia	Z2
Libra	S9 S9/S2mf
Libya	Z2
Libya	Z2/S2mf
Liechtenstein	Z2
Lietuva	Z2
Lille	Z2 Z1f
Limerick	Z2 Z3c
Lincoln	Z2 Z1mf
Lind	Z1mf
Linux	Y2
Lisboa	Z2
Lisbon	Z2
Lithuania	Z2
Liverpool	Z2 Z3c
Livingstone	Z1mf Z2
Lloyd	Z1m
Loire	Z2
London	Z2
London	Z2/S2mf
Lorraine	Z1f Z2
Lothringen	Z1f Z2
Louis	Z1m
Louisiana	Z2
Lovell	Z1mf
Lubnan	Z2
Lubnan	Z2/S2mf
Lucas	Z3c Z1mf
Luke	Z1m S9/Q1.2
Luksembourg	Z2
Luxemborg	Z2
Luxembourg	Z2
Luxembourg-Ville	Z2
Luxemburg	Z2
Luxemburg	Z2/S2mf
Luxor	Z2
Lydia	Z1f Z2
Lyon	Z1mf Z2
Lyons	Z1mf Z2
M	Z5 G1.1/S2
MPEG	C1/Y2
Mac	T1.3
Macao	Z2
Macau	Z2
Macbeth	Z1mf Z1/K4
Macedon	Z2
Macedonia	Z2
Machiavelli	Z1mf
Mackenzie	Z1 Z3
Macleod	Z1
Madagascar	Z2
Madagaskar	Z2
Madison	Z1 Z3c
Madonna	Z1f
Madrid	Z2
Maghreb	Z2
Maghribi	Z2
Magyarorszag	Z2 Z3c
Mahgrib	Z2
Mahler	Z1mf
Mahomet	Z1m
Mahound	Z1m
Maine	Z2 Z3c
Maitland	Z1
Majusi	S9
Makau	Z2
Makedonija	Z2
Malaga	Z2
Malawi	Z2
Malaya	Z2 Z3c
Malaysia	Z2 Z3c
Malaysia	Z2/S2mf
Maldiv	Z2
Maldives	Z2
Mali	Z2
Mallorca	Z2
Malta	Z2 Z3c
Malta	Z2/S2mf
Manchester	Z2 Z3c
Mandela	Z1mf
Manhattan	Z2 F2
Mann	Z1mf
Mansfield	Z2 Z1mf
Mao	Z1m
Marconi	Z3c Z1mf
Maret	T1.3
Marikh	Z3c Z1/W1 S9/T1.1.1@
Marks	Z3c Z1mf
Marley	Z3c Z1mf
Maroc	Z2
Marquis	Z3c
Marrakech	Z2
Marrakesh	Z2
Marruecos	Z2
Marseille	Z2 Z3c
Marseilles	Z2 Z3c
Marsh	Z2 Z1mf
Marshall	Z1mf
Martial	Z1m
Martin	Z1mf
Martinique	Z2
Marx	Z1mf
Marxis	G1.2/S2mf
Mary	Z1f
Maryam	Z1f
Maryland	Z2 Z3c
Mashona	Z2/S2mf Z1
Masihi	S9
Massachusetts	Z2 Z3c
Matthew	Z1m S9/O1.2
Mauritania	Z2
Mauritania	Z2/S2mf
Mauritanie	Z2
Mauritius	Z2
Mauritius	Z2/S2mf
Maxis	N5.1+ N3.2+++
Maxwell	Z1mf
Mayer	Z1mf
Mead	Z3c
Medellin	Z2
Mediterranean	Z2
Mei	A7+
Mei	T1.3
Mekah	Z2 M7/A11.1+ Z3
Meksiko	Z2 Z3c
Melayu	Z3c
Melbourne	Z2 Z3c
Melissa	Z1f
Memphis	Z2
Mercer	Z3c
Merlin	Z1m/S9
Merton	Z2 Z1mf Z3c
Mesir	Z2
Mesir	Z2/S2mf
Mesopotamia	Z2
Messiah	S9/S2mf
Mexico	Z2 Z3c
Mexico	Z2/S2mf
Miami	Z2 Z3c
Miao	Z2/S2mf
Michael	Z1m
Michelangelo	Z1m Z3c
Michigan	Z2
Micronesia	Z3c
Middleton	Z1mf Z2
Midland	Z3c
Midwest	Z2
Mikail	Z1m
Milan	Z2
Milano	Z2
Miller	Z1mf
Millet	Z3c
Mills	Z1mf
Milne	Z1mf
Milton	Z1mf Z2
Milwaukee	Z2
Mindanao	Z2
Minneapolis	Z2
Minnesota	Z2
Miri	Z2
Mississippi	Z2
Mitchell	Z1mf
Mitterrand	Z1mf
Mocambique	Z2 G3%
Modigliani	Z1mf
Mogadiscio	Z2
Mogadishu	Z2
Mohammad	Z1m
Mohammed	Z1m
Moldavia	Z2 Z1mf
Moldova	Z2 Z1mf
Monaco	Z2
Monet	Z1mf
Mongol	Z2/S2mf
Mongolia	Z2/S2mf
Monk	Z1mf
Monroe	Z1mf Z3
Monrovia	Z2
Montana	Z2
Montessori	Z1mf Z3c
