mwe_template	semantic_tags
a_prep quanto_adv pare_verb	A8
a_prep quanto_adv si_pron dice_verb	A8
a_prep reazione_noun	M5 M5fn N5
a_prep ripetizione_noun	N6+ F1/B1@
a_prep ritroso_adj	M6 X9.1-
a_prep rovescio_noun	M6 X9.1-
a_prep scacchi_noun	O4.3/B5
a_prep scadenza_noun	T1 T1.2 T1.3 T1.1.2 N6 G2.1@ X7+/T1 N3.1/T1
a_prep scatola_noun chiusa_adj	X3.4- X3.4-/B2- X3.4-/S2mf
a_prep scelte_noun multiple_adj	A6.3+
a_prep semicerchio_noun	O4.4 K5.1
a_prep sinistra_noun	M1 M2 A1.9 A9- N5.2+ T2- M6 G1.2 G1.2c
a_prep soqquadro_noun	G2.2- O4.2-
a_prep spina_noun di_prep pesce_noun	O4.1
a_prep spirale_noun	O4.4
a_prep stella_noun	W1
a_prep stento_noun	A13.7
a_prep strapiombo_noun	M6
a_prep strattoni_noun	M1
a_prep strisce_noun	O4.3
a_prep suo_pron tempo_noun	T1.1.1
a_prep sé_noun	A4.2+ A6.2- G2.1/S2mf
a_prep tavolino_noun	H5
a_prep tempo_noun parziale_adj	T1.3
a_prep tempo_noun pieno_adj	T1.3 K5.1/T1.2
a_prep terra_noun	A1.1.1 M6 N4 N5-- E4.1- S7.1- N3.1 O1.1 Z5
a_prep testa_noun	N5.1+ S1.1.2+
a_prep testa_noun in_prep giù_adv	M6
a_prep trama_noun rinforzata_verb	S8+ O4.5
a_prep valle_noun di_prep	M6
a_prep vari_adj piani_noun	H1/N3.7
a_prep venire_verb	M6 N4 T1.1.3
a_prep viso_noun aperto_verb	A10+/G2.2- O4.2
a_prep viso_noun scoperto_verb	A10+/G2.2- O4.2
a_prep voce_noun alta_adj	X3.2
a_prep volte_noun	N6
abbandonarsi_verb ai_prep ricordi_noun	X2.1/T1.1.1
abitante_noun della_prep foresta_noun	F4/S2mf
abitante_noun di_prep un_art basso_adj piano_noun	M7/S2mf
abitata_verb dai_prep fantasmi_noun	S9 E6-
abitate_verb dai_prep fantasmi_noun	S9 E6-
abitati_noun dai_prep fantasmi_noun	S9 E6-
abitato_noun dai_prep fantasmi_noun	S9 E6-
abito_noun che_pron lascia_verb il_art seno_noun scoperto_verb	B5-
abito_noun da_prep sera_noun	B5
abito_noun talare_adj	B5/S9
abituare_verb al_prep morso_noun	A1.1.1
accanirsi_verb contro_adv	E6-
accensione_noun difettosa_adj	A5.3- X3.4- X2.5- X9.2- T4- S1.1.3-
accensione_noun irregolare_adj	A5.3- X3.4- X2.5- X9.2- T4- S1.1.3-
accento_noun acuto_adj	A11.1+ X5.1+ O4.4 Q3%
accento_noun grave_adj	E4.1- Q3%
accesso_noun di_prep risa_noun	B2 A2.1+
accompagnamento_noun musicale_adj	 A1.1.1  K2 Q4.3
accompagnatore_noun turistico_adj	M2/S2mf
accompagnatrice_noun turistica_adj	M2/S2mf
acqua_noun di_prep sentina_noun	M4
acque_noun di_prep rifiuto_noun	O1.2/O4.2-
acque_noun di_prep scolo_noun	O1.2/O4.2-
acque_noun luride_adj	O1.2/O4.2-
acque_noun nere_adj	O1.2/O4.2-
acrobazie_noun aeree_adj	K1/M1 G1.2/M1
acrobazie_noun aeree_adj	K5.1 A2.1+
ad_prep alta_adj energia_noun	X5.2++ Y1
ad_prep alta_adj fedeltà_noun	K3
ad_prep alta_adj voce_noun	A5.1+ Q2.1 N3.7+ N5+ A11.1+ E4.1+ X3.2+
ad_prep alta_adj voce_noun	X3.2
ad_prep ogni_adj modo_noun	Z4
adattare_verb per_prep le_art scene_noun	K4 Q2.1
addetta_verb al_prep disinnesco_noun delle_prep bombe_noun	X7- M2
addette_verb al_prep disinnesco_noun delle_prep bombe_noun	X7- M2
addetti_verb al_prep disinnesco_noun delle_prep bombe_noun	X7- M2
addetto_verb agli_prep acquisti_noun	I2.2/S2mf
addetto_verb al_prep campo_noun	F4/S2mf
addetto_verb al_prep disinnesco_noun delle_prep bombe_noun	X7- M2
addetto_verb alla_prep protezione_noun antiaerea_adj	S7.1+/S2mf G2.1/S2mf
addetto_verb alle_prep pulizie_noun e_conj alla_prep manutenzione_noun	B4/S2mf
adornare_verb di_prep perle_noun	C1
aeroplano_noun radiocomandato_verb	O2/O3 M5
affare_noun serio_adj	I2.1 A1.1.1 A5.1+++
affari_noun seri_adj	I2.1 A1.1.1 A5.1+++
affaticare_verb cavalcando_verb	M1
affetto_noun da_prep infantilismo_noun	T3-/S2mf S1.2.6-
affetto_noun profondo_adj	E2+ S3.2 E2+/S2mf
affidare_verb ad_prep un_art istituto_noun	S5+ H1c S1.1.1
affidare_verb il_art comando_noun	I2.2 G3/S7.1+
affiggere_verb manifesti_adj	A1.1.1
affinché_conj non_adv	A1.3+
afflusso_noun di_prep sangue_noun	N5+
affusto_noun di_prep cannone_noun	M2 M3fn G3
agenda_noun ad_prep anelli_noun	S7.1+/S2mf
agente_noun elettorale_adj	I2.1/S2mf G1.1/X2.2+/S2mf K4/S2mf
agente_noun pubblicitario_adj	Q2.2/S2mf
agenzia_noun di_prep spedizioni_noun	M2
aggettivo_noun maschile_adj	S2.2
aggiungere_verb zucchero_noun	A9- A1.1.1
aggiunta_verb di_prep zucchero_noun	A9- N5
agire_verb con_prep astuzia_noun	X2.5-
agire_verb contro_adv	S8-
agire_verb in_prep modo_noun subdolo_adj	M1/A10- A9+/A10- M2
agire_verb in_prep modo_noun vile_adj	M1/A10- A9+/A10- M2
agitare_verb al_prep vento_noun	 M2 M1
ai_prep comandi_noun di_prep	M6 G1.1 G1.2 G3
ai_prep ferri_noun	F1 Q2.2 O4.6+
aiutante_noun di_prep campo_noun	S8+
aiuto_noun sceriffo_noun	G2.1/I3.2/S2mf
al_prep che_pron	Z5
al_prep chiuso_adj	H2 M6
al_prep contrario_noun	A13.5 Z4 E2++
al_prep coperto_noun	M6 G2.1@ Z5
al_prep corrente_noun	Q2.2/S8+ Q2.1/X2.2+
al_prep di_prep là_adv	M1 M6 N4 T1.1.1 Z5
al_prep di_prep là_adv	M6 Z5
al_prep di_prep sopra_adv	 N5.2+ A13.2  M6 Z5
al_prep di_prep sopra_adv	M6 N4 Z5
al_prep di_prep sotto_adv	M6 Z5
al_prep fine_noun di_prep ottenere_verb	Z5
al_prep largo_noun	 M6  Z5
al_prep limone_noun	F1 L3 F2 O4.3
al_prep mondo_noun	L1+ X5.2+
al_prep piano_noun inferiore_adj	H2
al_prep principio_noun	T4+ T1.1.1
al_prep ribasso_noun	I2.1
al_prep sangue_adj	 A5.1+ F1 O4.3
albero_noun cavo_adj	G3 L3
albero_noun del_prep pane_noun	A1.1.1 O2 Z3 L3
albero_noun di_prep gabbia_noun	O1.1/M4 H2
albero_noun di_prep trinchetto_noun	O2/M4 H2
alce_noun americano_adj	L2c
alcool_noun etilico_adj	  O1.2 F2 X5.2+ E1
aletta_noun idrodinamica_adj	M4
all'_prep aria_noun aperta_adj	M6
alla_prep buona_adj	O4.1 H4 O4.2-
alla_prep cieca_adj	O2/X3.4- X3.4- X3.4-/B2- X3.4-/S2mf
alla_prep fedeltà_noun	K3
alla_prep fine_noun	N4 O2 T2++ T1.3
alla_prep fine_noun	N4 Z4
alla_prep grande_adj	N3.2+ N5+ A11.1+ S1.2.5+ X5.2+
alla_prep griglia_noun	F1 Q2.2 O4.6+
alla_prep guida_noun di_prep	M6 G1.1 G1.2 G3 I3.2
alla_prep maniera_noun	A1.1.1 Z5
alla_prep mano_noun	S1.2.1+
alla_prep meglio_adj	Z4
alla_prep menta_noun	F1 F2
alla_prep moda_noun	O4.2+
alla_prep pesca_noun	F1 F2 L3 O4.3 O4.2+
alla_prep rinfusa_noun	Z4
alla_prep salute_noun	Z4
allattamento_noun al_prep seno_noun	T3--/F1
allegare_verb un_art prodotto_noun secondario_adj	A1.1.1 M2 Y2
allontanarsi_verb dalla_prep retta_adj via_noun	M1 X5.1-
allungare_verb il_art collo_noun	M1
allusione_noun maligna_adj	E4.1+
allusione_noun maligna_adj	Q2.2/E4.1-
altipiani_noun scozzesi_adj	M7
alto_adj rango_noun	A5.1 A5.1+ O4.1
alto_adj ufficio_noun	S7.2+
altro_pron che_pron	A13.6 Z5
alzare_verb il_art volume_noun	A1.1.1
alzare_verb in_prep posizione_noun verticale_adj	N5.1+ A5.1+++
amico_noun caro_adj	 S2.2m A5.1+
ammesso_verb che_pron	Z5
amministrare_verb con_prep parsimonia_noun	A1.5.1/A1.3+
amministrare_verb la_art comunione_noun	Q2.1 Q1.2 Q1.3 X2.2+
amministratore_noun fiduciario_adj	I1.1/S2mf S7.1+/S2mf I3.2
amministratore_noun fiduciario_adj	Q1.3 Q4.3 G2.1-/S2mf I2.1/S2mf
amministratore_noun laico_adj di_prep una_art parrocchia_noun	S7.1+/S2mf G2.1/S2mf S.9
amministrazione_noun comunale_adj	M7/G1.1
ammontare_verb approssimativamente_adv	N2 A13.4 I1 I2
amnesia_noun temporanea_adj	B2- A10- G3@
amore_noun mio_pron	E2+ S3.2 E2+/S2mf A5.1+
analisi_noun post_prep mortem_noun	B3
anche_adv io_pron	A6.1+ A1.8 S1.1.3
ancor_adv prima_adj	N4 T1.1.1 T4++
ancora_adv di_prep salvezza_noun	A1.7+ M4 M4/O2 Q4.3/S2mf
andar_verb male_adv	X9.2- A5.1-/A2.1
andare_verb a_prep caccia_noun	G3 A1.1.1
andare_verb a_prep caccia_noun	G3 K5.1 M1 M2  Q1.2
andare_verb a_prep caccia_noun col_prep falcone_noun	I2.2 A1.1.1
andare_verb a_prep caccia_noun di_prep conigli_noun	G3 Q2.1 K5.1 M1 M2  Q1.2
andare_verb a_prep caccia_noun di_prep foche_noun	G3 K5.1 M1 M2  Q1.2
andare_verb a_prep cozzare_verb	E3-
andare_verb a_prep genio_noun	O4.2+ Q2.2 G2.1 E2+
andare_verb a_prep gonfie_adj vele_noun	N5+++ X3.2
andare_verb a_prep male_noun	X2.5- I3.1
andare_verb a_prep monte_noun	A1.1.1  A1.1.2 X4.2
andare_verb a_prep sbattere_verb	A1.1.1 M1
andare_verb a_prep seme_noun	A1.7+ M1/N3.8+ F1/B1@ N3.2++/A2.1@
andare_verb a_prep trovare_verb	S1.1.1 M1 X3.4 X2.5+ X2.3+ X3
andare_verb a_prep tutta_adj velocità_noun	N3.8+
andare_verb ad_prep alta_adj velocità_noun	G3 N3.8+
andare_verb al_prep passo_noun	M1  X9.2+/A12+
andare_verb all'_prep aria_noun	A1.1.1  A1.1.2 X4.2
andare_verb alla_prep deriva_noun	M1 A1.4
andare_verb alla_prep ricerca_noun	X3.4 X2.5+ X2.3+ X3
andare_verb avanti_adv	M1 A5.1+/A2.1+ I1.1 T4+ S8+ X2.1
andare_verb avanti_adv e_conj indietro_adv	M1 M2
andare_verb bene_adv	A1.1.1 G2.2- X9.2+ E3 N5+ G2.1% Z5
andare_verb d'_prep accordo_noun	A6.1+ Q2.2
andare_verb di_prep gran_adj carriera_noun	N3.8+
andare_verb dietro_prep	A1.1.1 X8+ X2.4 M1
andare_verb dietro_prep	M2 T1.3
andare_verb d’accordo_noun	X2.3+
andare_verb fuori_adv	M1
andare_verb in_prep autobus_noun	M3
andare_verb in_prep automobile_noun	M3
andare_verb in_prep barca_noun	M4
andare_verb in_prep battuta_noun	M4 M1
andare_verb in_prep bicicletta_noun	M3
andare_verb in_prep calesse_noun	M2 M3
andare_verb in_prep canoa_noun	M4
andare_verb in_prep cerca_noun	K5.1 X4.1 S3.2 X7+
andare_verb in_prep cerca_noun	X3.4 X2.5+ X2.3+ X3
andare_verb in_prep fretta_noun	M1
andare_verb in_prep moto_noun	M3
andare_verb in_prep motocicletta_noun	M3
andare_verb in_prep rovina_noun	A1.1.1 A1.1.2 X3.2 M1 N5-/A2.1 Y2 B1@
andare_verb male_adv	A5.3- X3.4- A11.2- X2.5- X9.2- E4.1- T4- S1.1.3-
andare_verb oltre_adv	N3.3+ N5.2+
andare_verb per_prep le_art lunghe_adj	M2 T1.3
andare_verb subito_adv d'_prep accordo_noun	A2.2 S5+ A1.1.1
andare_verb sullo_prep snowboard_noun	A1.1.1 M3
andare_verb via_adv	M1
andarsene_verb in_prep fretta_noun e_conj furia_noun	G3 E2- N3.8+
andarsene_verb precipitosamente_adj	M1 N3.8+
andato_verb a_prep male_noun	F1 F3 N5+ A11.1+ S7.1+ A5.1- T3- X3.2 G2.2+ I1.3+ O4.2- S9
andatura_noun dinoccolata_verb	O4.4/B1 O4.2
andatura_noun lenta_adj	G2.2-/S2mf K5.1 A1.1.1 M1/N3.8---
andatura_noun pesante_adj	M1 S2 X3.2/M1
andatura_noun sciolta_verb	M1 A2.1+ A6.2+ E3-  M2
andatura_noun svelta_verb	M1/N3.8+
andatura_noun zoppicante_adj	M1 O4.2
angolo_noun esterno_adj	N2 O2
angolo_noun remoto_adj	M6 N4 Z5
animale_noun acquatico_adj	L2 M4 K5.1/M4
animale_noun addestrato_verb	L2mfn
animale_noun da_prep sella_noun	L2mfn
animale_noun della_prep foresta_noun	L2
animale_noun domestico_adj	E2+ L2mfn S3.2
animale_noun saltatore_adj	L2 K5.1/S2mf
animale_noun scavatore_adj	L2
anni_noun verdi_adj	 A2.2  T3+
anno_noun accademico_adj	T1.3
annuario_noun	Q1.3/Q4.1 Q4.1 Y2
annunci_noun pubblicitari_adj	I2.2/Q2.1 X2.2+ A10+
annunciare_verb con_prep voce_noun lugubre_adj	X3.2 Q2.2
annunciare_verb pubblicamente_adv	E4.1- Q2.2
annuncio_noun pubblicitario_adj	I1.1 X2.1 I2.2/Q2.1 X2.2+ A10+
anziano_adj tradizionalista_noun	G1.1/S2mf T3+
apparato_noun urinario_adj	B1/E4.1-
apparecchio_noun di_prep disturbo_noun	M1/X7-/S2mf
apparecchio_noun di_prep emergenza_noun	B3 A2.1+/G2.1- B3/I3.2/S2mf
apparecchio_noun ortodontico_adj	B3 O2 X2.6/A1.1.1
apparecchio_noun radio_adj	Q4.3 Q1.3
apparecchio_noun radioricevente_adj	Q1.3 Q4.3 G2.1-/S2mf
apparecchio_noun trasmittente_adj	Q1.3 Q4.3 G2.1-/S2mf
apparire_verb improvvisamente_adv	A1.1.2 A1.1.1
appassionato_verb di_prep informatica_adj	Y2/S2mf
appendere_verb a_prep essiccare_verb	M2 M1 M8 G2.1 S7.1-
appendere_verb a_prep frollare_verb	M2 M1 M8 G2.1 S7.1-
appiglio_noun per_prep il_art piede_noun	S8+ K5.1
applicare_verb con_prep il_art pennello_noun	B4 A1.1.1
applicare_verb la_art crema_noun	F1 A9+ S7.1+
applicare_verb ventose_adj	A1.1.1 O4.4
appoggio_noun del_prep capo_noun di_prep un_art partito_noun a_prep un_art candidato_noun	Q1.2 G1 A1.1.1
apporre_verb un_art marchio_noun	A1.7+ X6+ F1
appropriarsi_verb indebitamente_adv	A1.1.1 A9+/G2.1-
appropriazione_noun indebita_adj	A9+/G2.1-
aprire_verb con_prep le_art mine_noun	A1.1.1
aprire_verb spalando_verb	A1.1.1
arbusto_noun stentato_verb	  L3
arca_noun dell'_prep alleanza_noun	S9
arcata_noun plantare_verb	O4.4 B1@ X9.1+/E4.1+ A11.1+/S7.1+
arco_noun del_prep piede_noun	O4.4 B1@ X9.1+/E4.1+ A11.1+/S7.1+
arco_noun di_prep tempo_noun	A1.8+ T1.3 N3.3 N3.7 N3.6 W1 N6
arco_noun rovescio_adj	H1 H2
ardere_verb dal_prep desiderio_noun	O4.6+ E1 X5.2/X7
ardere_verb d’ira_noun	O4.6+ E1 E3
area_noun di_prep memoria_noun	M7 A4.1 N3.6
area_noun di_prep stazionamento_noun	M7
argento_noun vivo_adj	O1.2
aringa_noun affumicata_verb	L2 F1
arma_noun da_prep fuoco_noun	G3 O2 O3
armare_verb di_prep sperone_noun	B5 A1.1.1/G3
armatura_noun di_prep sostegno_noun	Q1.2/A10- H5 K5.2
arnese_noun per_prep perforare_verb	 A1.1.1 O2
aromatizzare_verb col_prep luppolo_noun	F2/A1.1.1
arredo_noun sacro_adj	O2 C1 A11.1+/S2mf O4.1
arresto_noun improvviso_adj	E6-
arresto_noun improvviso_adj	N5-- N5-/A2.2
arresto_noun momentaneo_adj	N5-- N5-/A2.2
arrivare_verb a_prep un_art accordo_noun	S7.1+ A1.1.1
arrivare_verb ad_prep un_art accordo_noun	S7.1+ A1.1.1
arte_noun culinaria_adj	F1
arte_noun drammatica_adj	K4
arte_noun drammatica_adj	K4 A1.1.1
arte_noun muraria_adj	H1 C1
arteria_noun coronale_adj	B2- B1
arti_noun liberali_adj	C1 P1 X9.1+
articoli_noun di_prep piombo_noun	Q1.2 Q4 Q4.2 A2.2 O2
articolo_noun di_prep fondo_noun	Q1.2 Q4 Q4.2
articolo_noun di_prep qualità_noun superiore_adj	A5.1+ G2.1/S2mf
articolo_noun speciale_adj	A4.2+ A5.1+
ascoltare_verb direttamente_adv	X3.2
asilo_noun infantile_adj	P1/H1
asilo_noun politico_adj	G1.1
aspettare_verb in_prep attesa_noun	T1.3 A3+ A11.1+ S1.1.1%
aspettare_verb un_art bambino_noun	X2.6+ B1
aspetto_noun esteriore_adj	A10+ O4  X3.4
aspetto_noun favorevole_adj	E4.1+
aspra_adj critica_noun	Q1.2
assalire_verb dall’alto_noun	A1.1.1 G3
assaporare_verb in_prep anticipo_noun	X2.6+
asse_noun elastica_adj	O2
asse_noun ereditario_adj	G2.1/A9+/S4
assegnare_verb ad_prep altra_adj sede_noun	M6/A2.1+ I3.1/A2.1+ M7
assegnare_verb un_art ormeggio_noun	A1.1.1/M8/M4
assegnare_verb una_art cuccetta_noun	A1.1.1/M8/M3 A1.1.1/M8/M4
assegnare_verb una_art pensione_noun	I1.1/T3+
assegno_noun a_prep vuoto_noun	G2.1 I1.2
assicella_verb di_prep legno_noun	O2 O4.5
assicurarsi_verb con_prep un_art rampone_noun	E6- A1.1.1
assicurarsi_verb con_prep una_art broglia_verb	E6- A1.1.1
assistente_noun di_prep volo_noun	M5/S2mf S2.1/S1.1.1f
assistenza_noun finanziaria_adj	S8+ I1 G1.1c
assistenza_noun legale_adj	S8+
assistenza_noun telefonica_adj	Q1.3/S8+
associazione_noun a_prep delinquere_verb	G2.1- G2.2-
associazione_noun di_prep compositori_noun	S3.1 S5
assunzione_noun di_prep cibo_noun	A9+ A1.1.1 O2/N5 F1/N5
astuccio_noun da_prep lavoro_noun	O2 B5%
atleta_noun maldestro_adj	S2.1 S2.2
atletica_noun leggera_adj	K5.1
attaccare_verb bottone_noun	S1.1.1
attaccare_verb cartelloni_noun	A1.1.1
attaccare_verb ripetutamente_adv	E3-
attacco_noun improvviso_adj	A1.1.1 G3 B2 A1.5.1/N5.1+ E5- O3 A2.1+ S8- E3- E4.1-
attacco_noun isterico_adj	B2-/X1c E4.1-c
attacco_noun verbale_adj	E3- Q2.2 Q1
attacco_verb simulato_verb	O4.1
atteggiamento_noun scomposto_verb	O4.4/B1
attendere_verb	T1.3 A3+ A11.1+ S1.1.1%
attenta_adj lettura_noun	Q1.2 X2.4
atti_noun di_prep carità_noun	S8+/S5+c S8+ S1.2.2-
attingere_verb con_prep il_art secchio_noun	A1.1.1
attività_noun artistiche_adj	C1 P1 X9.1+
attività_noun lavorativa_adj	A1.1.1 S8+ S7.1- I2.2 S9 I3.1  G3@ G1.1@ G2.1@
attività_noun professionale_adj	A1.1.1 I3.1/S5+c S8+ S7.1- I2.2 S9
attività_noun sportiva_adj	A10+ K5.1
atto_noun al_prep lavoro_noun	I3.1
atto_noun costitutivo_adj	I2.2 I3.2% Q1.2
atto_noun istitutivo_adj	I2.2 I3.2% Q1.2
atto_noun scritto_verb	I1.3 G1.1 Q1.2
attore_noun comico_adj	E4.1+ E4.1+/S2mf K4/S2mf Q4.3/S2mf
attore_noun commediografo_noun	E4.1+/S2mf K4/S2mf Q4.3/S2mf
attribuire_verb ingiustamente_adv	A9+/G2.2-
aumentare_verb di_prep valore_noun	E2+ X2.5+ S1.1.1 I1.1++
aumentare_verb il_art valore_noun	E2+ X2.5+ S1.1.1 I1.1++
aumentare_verb rapidamente_adv	A1.1.1 N5+/A2.1 E3- G3
aumento_noun di_prep valore_noun	E2+ X2.5+ S1.1.1 I1.1++
automobile_noun della_prep polizia_noun in_prep giro_noun di_prep ronda_noun	M3fn
avanzare_verb con_prep decisione_noun	M1 G3 G1.2
avanzare_verb di_prep grado_noun	M1 A5.1+/A2.1+ I1.1 T4+ S8+ X2.1
avanzare_verb lentamente_adv	M1 N3.8- S7.1- M1/N3.8---
aver_verb bisogno_noun	X7+ S6+ A7+ S3.2 A9-
aver_verb luogo_noun	A2.2 A3+ X2.1 A9+ N4 S3.2 T1 A1.1.1
aver_verb posto_verb	Q2.2 B3 A1.8+ S7.4+/M1
avere_noun voglia_verb	E6- E2+ S8+ B3 X7+
avere_verb a_prep propria_adj disposizione_noun	S7.1+ X9.1+
avere_verb addosso_adv	B5 A1.1.1
avere_verb allucinazioni_noun	B2-/X1
avere_verb come_prep conseguenza_noun	A2.2 M2 A9+ Q4 S7.4+ B1% B2-%
avere_verb conati_noun di_prep vomito_noun	A1.1.1/B2-
avere_verb cura_noun	B4 P1 E6- E2+ S8+ B3 X7+
avere_verb diritto_noun di_prep	A9+ A1.1.1
avere_verb effetto_noun	A2.1+ A2.2 A5.4-/A8
avere_verb esperienza_noun	X2.1 S1.1.1 X2.5+ X2.3+ X3  S3.2
avere_verb fiducia_noun	X2.1 E6+ X2.6 G1
avere_verb i_art brividi_noun	B1 E5
avere_verb il_art controllo_noun	S7.1+ X9.1+
avere_verb il_art dubbio_noun	E5-
avere_verb il_art fischio_noun	B2-
avere_verb il_art respiro_noun affannoso_adj	B2-
avere_verb il_art sospetto_noun	E5-
avere_verb importanza_noun	A11.1+
avere_verb in_prep comune_adj	S1.1.2+
avere_verb in_prep prestito_noun	A9+
avere_verb intenzione_noun	A11.1+ X7+
avere_verb invidia_noun	S1.2.2+
avere_verb la_art maggioranza_noun	M2 A9+ Q4 S7.4+ N5 B2-%
avere_verb la_art pelle_noun d’oca_adj	A1.1.1 E5- O4.1
avere_verb le_art coliche_noun	E2-/Q2.2 B2-
avere_verb le_art doglie_noun	A1.1.1/A12- A11.1+/N5.2+
avere_verb notizia_noun	X3.2 X2.3+ G2.1@
avere_verb origine_noun	T2+
avere_verb paura_noun	E5-
avere_verb più_adv importanza_noun	A11.1++
avere_verb più_adv peso_noun	A11.1++
avere_verb rapporti_noun d'_prep affari_noun	I2.2
avere_verb relazioni_noun	A2.2 S5+ S3.1 S3.2 A1.1.1
avere_verb sospetti_adj	X2.1/A5.1- A7
avere_verb sotto_adv di_prep sé_noun	S7.1+
avere_verb sotto_adv la_art propria_adj direzione_noun	S7.1+
avere_verb un_art andamento_noun ciclico_adj	M3 N6
avere_verb un_art aspetto_noun piacevole_adj	E4.1+
avere_verb un_art aspetto_noun ridente_verb	E4.1+
avere_verb un_art atteggiamento_noun servile_adj	S7.1-
avere_verb un_art colloquio_noun con_prep	Q2.1 I3.1
avere_verb un_art conto_noun in_prep banca_noun	I1.1
avere_verb un_art introito_noun lordo_adj	I1.1
avere_verb un_art orgasmo_noun	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 S3.2 A1.1.1 N5
avere_verb un_art potere_noun dacquisto_verb	I2.2
avere_verb un_art timore_noun reverenziale_adj	E5-
avere_verb un_art vuoto_noun	X2.1- A1.9
