id	Token	POS	Semantic Tags
115	وہاں	RP	M6 A1.1.1
116	کے-ذریعے	RL	M6 T1.2
117	سال	RP	M6
118	ختم	NNT1	T1.3 P1c
119	گے	RP	T2- M6
120	ضروری	VM	T1.1.3
121	اب-بھی	VM	S6+ A7+
122	بھی	VV0	E3+/A2.1 E6+
123	لے	VV0	A6.1+
124	بھی	VV0	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
125	مزيد	RR	N5++
126	یہاں	RRR	A13.3 N6++
127	اپنے	RL	M6 T1.1.2 T1.2
128	آئے	VV0	A9+
129	آخری	VVN	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
130	کرتا	VV0	T2++ T1.3
131	اوہ	VDZ	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
132	کہنا	UH	Z4
133	نہیں	VV0	Q2.1 Z4%
134	ہوں	UH	Z4
135	کام	VBM	A3+ Z5
136	کہاں	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2
137	حیوان	RRQ	M6
138	ہمیں	UH	Z4
139	حکومت	PPIO2	Z8
140	اسی	NN	G1.1c
141	آدمی	DA	A6.1+++
142	ہوسکتا-ہے	VV0	I3.1
143	دن	VM	A7+
144	جی-ہاں	NNT1	T1.3
145	تاہم	UH	Z4
146	ڈال	RRQV	Z4
147	دنیا	VVN	M2 Q2.1 Q2.2 A1.1.1
148	ختم	NN1	W1 S5+c A4.1 N5+
149	دوسرے	RP	T2- M6
150	میں	DD1	A6.1- N5++
151	چاہتے-ہیں	RP	M6
152	کے-طور-پر	VV0	X7+ S6+ A7+ S3.2 A9-
153	زندگی	RG	A13
154	سب-سے-زیادہ	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1
155	کخلاف	RRT	N5+++
156	پھر	NN1	A5.1- S8-
157	کبھی-نہیں	RT	N6+ Z4
158	کے-تحت	RR	T1/Z6
159	پرانی	RP	M6
160	زیادہ-سے-زیادہ	JJ	T3+ Z4
161	کچھ	RR	A13.3 N6+
162	جناب	PN1	Z8
163	کیوں	NNB	S2.2m
164	ہر	RRQ	A2.2
165	جبکہ	RA	S1.1.2+
166	گھر	VV0	T1.3
167	حصہ	VV0	H4
168	تعداد	VV0	A10+ B4 S3.1-
169	بند	VV0	N5
170	مختلف	RP	M6 K1 A1.1.1 A1.9
171	چلا-گیا	JJ	A6.1-
172	واقعی	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
173	تھیلا	NN1	B5 O2 B1
174	سوچا	GE	Z5
175	آیا	VVN	X2.1
176	استعمال کیا جاتا ہے	VVD	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
177	بچوں	JA	A1.5.1 T3+
178	ہمیشہ	NN2	S2mf/T3- S4mf
179	چار	RR	N6+++
180	کہاں	MC	N1 T3 T1.2
181	بغیر	RRQ	M6
182	دے	RL	M6
183	چند	VV0	A9- A1.1.1
184	کے اندر	DA2	N5-
185	کے بارے میں	RL	M6
186	نظام	RP	Z5 M6
187	مقامی	NN1	X4.2 O3 M3 M4 Q1.3 Y2 B1 N2 G1.1c
188	جگہ	NN1	H3/S2mf F2/H1c
189	عظیم	VV0	M2 X2.2+ I3.1 Q2.2
190	کے دوران	RR	A5.1+
191	اگرچہ	II	Z5
192	چھوٹے	CS	Z5
193	پہلے	RR	N3.2-
194	دیکھو	RT	N4
195	اگلے	VV0	A8 X3.4 X2.4 X7+ Z4
196	کب	MD	N4
197	مقدمہ 	RRQ	Z5
198	آخر	NN1	A4.1 O2 G2.1 B3 X4.1 Q3
199	چیزیں	VV0	T2-
200	سماجی	NN2	O2 X4.1 A7- S2mf L2mf
201	سب سے زیادہ	NN1	S1.1.1 I1.1/G1.1
202	مل	RRT	N5+++
203	گروح	VV0	A10+ X2.1 X6+
204	خاموش	VV0	S5+ A4.1 B3%
205	مطلب	RR	A13.5 A13.6 A13.2
206	پانچ	VV0	Q1.1 X7+
207	دعوت	MC	N1 T3 T1.2
208	ہر	VV0	K1/S1.1.3+
209	رفاقت	AT1	N5.1+
210	خواتین	NN1	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c
211	کہنا 	NN2	S2.1f
212	اہم	VVZ	Q2.1
213	لیا	JJ	A11.1+
214	زیادہ سے زیادہ	VVD	A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
215	مردوں	RR	A13.3 N6+
216	معلومات	NN2	S2.2m
217	دونوں	NN1	X2.2+
218	قومی	RR	Z5
219	اکثر	NN1	M7/S2mf
220	دیکھا	RR	N6+
221	دیا	VVN	X3.4 X2.1 S1.1.1 X2.5+ A7+
222	اسکول	VVN	A9- A1.1.1
223	حقیقت	VV0	P1
224	پیسے	NN1	A5.2+ X2.2
225	بتایا	NN1	I1
226	دور	VVN	Q2.1 S7.1+/Q2.2 X3 A10+
227	اعلی	RL	M6 A1.1.1%
228	نقطہ	RR	N3.7+ N5+
229	رات	VV0	A10+ M6 H1
230	ریاست	NNT1	T1.3
231	کاروبار	VV0	Q2.1
232	دوسری	NN1	I2.1 A1.1.1 A5.1+++
233	ضرورت	VV0	S8+
234	لیا	VV0	S6+
235	کیا	VVN	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
236	حق	VDN	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
237	 رکھنا	VV0	A5.3+/A2.1
238	چیز	VHG	A9+ Z5 A2.2 S4
239	دیکھا	NN1	O2 X4.1 A7- S2mf L2mf
240	لندن	VVN	A8 X3.4 X2.4 X7+
241	علاقا	NP1	Z2
242	شاید	NN1	M7 A4.1 N3.6
243	سر	RR	A7
244	پانی	VV0	S7.1+ K5.1 M1 N5 A2.1+ A11.1+ Q1.2 T1.1.3
245	حق	VV0	F4 B1
246	خاندان	VV0	A5.3+/A2.1
247	طویل	NN1	S4c A4.1c
248	ہاتھ	VV0	X7+
249	کی طرح	VV0	A9-
250	پہلے ہی	VV0	E2+
251	ممکن	RR	T1.1.1
252	کچھ بھی نہیں	JJ	A7+
253	ابھی تک	PN1	Z6/Z8
254	بڑے	RR	T1.1.2
255	چھوڑ	JJ	N3.2+ N5+ A11.1+
256	کی طرف	VVN	M1 M2 A1.1.1 A1.9 A9- N5.2+ T2-
257	پوچھا	VV0	S5+
258	قائم	VVD	Q2.2
259	چاہے	VVN	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3
260	دن	CSW	Z5
261	گھر	NNT2	T1.3
262	ملاقات	VV0	M1/M6
263	جان	JB	Q2.2
264	ترقی	NP1	Z1m S9/O1.2
265	ہفتے	NN1	A2.1+ A5.1+/A2.1 H1
266	استعمال	NNT1	T1.3
267	ملک	VV0	A1.5.1 S7.1+
268	طاقت	NNL1	G1.1c W3 F4/M7
269	بعد	VV0	A1.1.1
270	تقریبا	RRR	T4-- T1.1.3 N4
271	نوجوان	RR	A13.4
272	کونسل	NN1	T3-
273	خود	NN1	G1.1c S7.1+/S5+c
274	دور	PPX1	Z8m
275	دونوں	RR	A13.3 N3.3+ X9.2+
276	استعمال	RR	Z5
277	کمرے	VV0	A1.5.1 S7.1+
278	ایک ساتھ مل کر	VV0	H4
279	بتا	RL	S5+ T1.1.2 M6
280	تھوڑا	VV0	Q2.2 Q2.1 X3 A10+
281	سیاسی	RR	A13.7
282	پہلے	JJ	G1.2
283	قابل	RT	N4
284	بن	JJ	X9.1+
285	چھ	VVN	A2.1+ O4.2+
286	عمومی	MC	N1 T3 T1.2
287	خدمت	NN1	G3/S7.1+/S2mf B3/H1
288	آنکھوں	VV0	A1.1.1 S8+
289	کے بعد	VVZ	X3.4
290	اوقات	RR	N4
291	مسئلہ	NP1	Z3
292	کچھ	NN1	A12- X4.1 B2-
293	منڈی	PN1	Z8
294	کی طرف	VV0	I2.2
295	عدالت	II	Z5
296	عوامی	VV0	S3.2 X7+
297	دوسروں	RR	A10+
298	چہرہ	NN2	A6.1-/Z8
299	مکمل	VV0	M6 S1.1.1 X2.1 B5
300	کررہے	RR	N5.1+
301	جنگ	VDG	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
302	گاڈی	VV0	G3 S7.3
303	محسوس کیا	NN1	M3fn
304	پولیس	VVN	X2.1 E1 X3
305	رکھنے	VV0	G2.1 G2.2
306	منعقد	VV0	A9+ N6+ T2++ A1.7+ A2.2 F4 S8+ H4
307	سڑک	VVN	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+
308	شاید	NN1	M3 X4.2
309	مدد	RR	A7+
310	دلچسپی	VV0	S8+
311	دستیاب	VV0	X5.2+
312	قانون	JJ	A3+ A9+ A1.2+/G1.2 S4
313	بہترین	NN1	G2.1 S6+ Y1
314	شکل	RRT	A5.1+++ A13.2 G2.2+++ O4.2+++
315	تلاش	VV0	T2+ A2.1+ A1.8+ A3+ A1.1.1
316	ابتدائی	JB	A8 X3.4
317	سازی	RR	T4+
318	آج	NN1	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
319	ماں	RT	T1.1.2
320	دیکھا	VV0	S4
321	جانتا تھا	VVD	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ S3.2
322	تعلیم	VVD	X2.2+ S3.2/B1%
323	کام	NN1	P1 X2.3+
324	اصل	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2
325	پالیسی	RR	A5.4+ A14
326	کبھی	NN1	X7+ Q1.2
327	تو	RR	T1.1 N6+++ A13
328	دفتر	RR	Z5 A13.3
329	ہوں	NN1	I2.1/H1c I2.1/H2c S7.1+ I3.1 S9 S8+
330	تحقیق	VBM	A3+ Z5
331	محسوس	VV0	X2.4
332	بڑا	VV0	X2.1 E1 X3
333	جسم	RR	N3.2+
334	دروازے	NN1	B1 O2 S5+c O4.1 S2mf
335	دیں	NN1	H2 H1@
336	برطانیہ	VVN	S7.4+ I2.2/H1 T2-
337	نام	NP1	Z2
338	شخص	VV0	Q2.2
339	خدمات	NN1	S2mfc
340	ماہ	NN2	S8+ S7.1- A1.1.1 S9 G3@ G2.1@ M3/M7@
341	رپورٹ	NNT2	T1.3
342	سوال	VV0	Q2.2 S7.1-
343	استعمال	VV0	Q2.2
344	صحت	VVG	A1.5.1 S7.1+
345	تبدیل کر دیا	NN1	B2 X9.2
346	دس لاکھ	VVD	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
347	اہم	NNO	N1 I1
348	اگرچہ	NN1	O2/M4 O3
349	الفاظ	RR	Z5
350	کافی	VVZ	Q3
351	بچہ	RR	N5+ N6+
352	کم	NN1	S2mf/T3- S4mf
353	کتاب	RRR	A13.6
354	مدت	VV0	A9+/Q2.2 G2.1
355	یہاں تک کہ	NN1	T1.3 B1 Q3 P1/T1.3
356	کئی	II	Z5
357	اس بات کا یقین	DA2	N5
358	والد	UH	Z4
359	سطح	VV0	S4/B1
360	کنٹرول	VV0	O4.4 Q2.2 M2
361	نام سے جانا جاتا	VV0	S7.1+ A1.7+
362	معاشرہ	VVN	X2.2+ S3.2/B1%
363	اہم	NN	S5+c
364	کے ارد گرد	VV0	P1
365	شروع	RP	M6
366	خود	VVD	T2+
367	خود	PPX1	Z8
368	وزیر	PPX2	Z8
369	اقتصادی	NN1	G1.1/S2mf S9/S2mf
370	مطلوب	JJ	I1.3- I2.1
371	پر	VVN	X7+ S6+ A7+ G2.1- S3.2 A9-
372	علاقوں	II	Z5
373	کے بعد	NN2	M7 A4.1 N3.6
374	لہذا	RR	N4
375	عورت	RR	Z5
376	انگلینڈ	NN1	S2.1f
377	شہر	NP1	Z2 Z1mf
378	برادری	NN1	M7c M7/I2.1c
379	صرف	NN1	S5+c
380	شامل	RR	A14
381	مرکز	II	A1.8+
382	دی	VV0	M6 A11.1+
383	کام	VVD	A9- A1.1.1
384	میں	NN1	I3.1 A1.1.1 A12-
385	پوزیشن	II	Z5
386	اثر	VV0	M6
387	امکان	VV0	A2.2
388	حقیقی	RR	A7+
389	واضح	RG	A13.3
390	عملے	VVZ	M2 A7+ A10+ I1.1 B4 O4.1
391	سیاہ	VV0	I3.1
392	قسم	VV0	O4.3 G2.2-
393	پڑھ	NN1	A4.1
394	فراہم کرتے ہیں	VVN	Q3 Q1.2 X3.2+ X2.5+ P1 A10+
395	خاص طور پر	VV0	A9- S6+
396	بن گیا	NN1	A4.2+
397	سطر	VVD	A2.1+ O4.2+
398	لمحے	VV0	A1.1.1
399	بین الاقوامی	NNT1	T1.2 T1.1.2
400	کارروائی	NN1	M7/S5+c K5.1 K5.1/S2mf
401	خصوصی	VV0	A1.1.1
402	مشکل	NN1	A4.2+ G2.1/S2mf
403	کچھ	JJ	A12-
404	خاص طور پر	JJ	A4.2+ A7+
405	تو	RR	A13.3 A14
406	کھلا	RR	Z5
407	انتظام	VV0	A10+ T2+
408	لے کر	NN	S7.1+c
409	بھر	VVG	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
410	خیال	RL	M6
411	پوری	NN1	X4.1 X7+
412	عمر	NN1	N5.1+
413	عمل	VV0	T3++ T3
414	کام	VV0	A1.1.1 Y2 M1
415	کے ارد گرد	VVI	A1.1.1 T1.1.2 A8 K4
416	ثبوت	RP	M6
417	نقطہ نظر	VV0	A10+ A5.2+ X2.4
418	بہتر	VV0	X2.1 X3.4 X2.4
419	بند	VV0	A5.1++
420	ذہن	RP	M6 K1 A1.1.1 A1.9
421	احساس	VV0	E6+ E2- S8+ A1.3
422	بلکہ	VV0	X3
423	لگتا ہے	RR	Z4 E2++
424	یقین	VVZ	A8
425	صبح	VV0	X2.1 S9%
426	تیسری	NNT1	T1.3
427	اور	MD	N4 N5 N1
428	نصف	RR	A6.1- Z4
429	سفید	RR	N1 A13.4
430	موت	NN1	O4.3 O4.3/S2mf F2 F1 B1
431	کبھی کبھی	NN1	L1-
432	اس طرح	RR	N6
433	لایا	RR	Z5/A2.2
434	ہو رہی ہے	VVN	M2 A2.2
435	گرجا گھر	VVG	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
436	دس	NN1	S9/H1c S9c
437	گے	MC	N1 T3
438	کوشش	VM	T1.1.3
439	پیچھے	VV0	X8+ X2.4 Q2.2 G2.1 A12-
440	سنا	RL	M6 A6.1-
441	خدا	VVN	X3.2 X2.3+ G2.1@
442	میز	NP1	S9m Z4
443	تبدیلی	VV0	Q2.2
444	حمایت	VV0	A2.1+ I1 B5
445	واپس	VV0	S8+ A1.1.1 K5.1 I1.1 A10+
446	قسم	VV0	S8+ K5.1/I1 M1 M6 K2
447	جن	VV0	A4.1 A1.1.1 Y2
448	صنعت	DDQGE	Z8
449	پہلے	NN1	I4c I2.1c
450	مفت	RA	T1.1.1
451	دیکھ بھال	VV0	S6- A1.7-
452	حکم	VV0	E6- E2+ S8+ B3 X7+
453	صدی	VV0	S7.1+/Q2.2 I2.2/Q2.2
454	حد	NNT1	T1.3 K5.1%
455	یورپی	VV0	A6.3+ O4.1
456	چلے گئے	NP1	Z3
457	کل	VVN	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
458	تربیت	RT	T1.1.1
459	کام کر رہے ہیں	NN1	P1 K5.1
460	پوچھنا	NN1	I3.1 A1.1.1 X9.2+ A2.1+ A2.2 M7/I4@
461	سڑک	VV0	Q2.2
462	گھر	NNL1	M3/H3
463	لفظ	VV0	M1/M6
464	گروپوں	VV0	Q3
465	تاریخ	NN2	S5+ A4.1 B3%
466	مرکزی	NN1	T1.1.1 P1/T1.1.1 Q2.1 B2
467	تمام	JJ	A11.1+ M6
468	مطالعہ	RR	A13.2
469	عام طور پر	VV0	P1 X2.4
470	یاد	RR	A6.2+
471	تجارت	VV0	X2.2+
472	سو	VV0	I2.2
473	پروگرام	NNO	N1
474	کھانا	VV0	Y2
475	کمیٹی	NN1	F1
476	ہوا	NN1	S7.1+/S5+c
477	گھنٹے	VV0	B4 Q2.1
478	تجربہ	NNT2	T1.3
479	شرح	VV0	X3 A1.1.1
480	ہاتھ	VV0	A5.1
481	یقینا	VVZ	A9-
482	سر	RR	A13.3
483	زبان	NN1	S7.1+/S2.2m
484	ملک	NN1	Q3 Y2
485	نتیجہ	VV0	M1 M2 M5 M4 A9+ A2.2
486	کورس	VV0	A2.2
487	کسی	VV0	M1
488	سب کچھ	PN1	Z8mfc
489	یقینی طور پر	PN1	Z8/N5.1+
490	بنیاد	RR	A7+
491	ٹیم	JJ	T2+ M6 A2.2
492	سیکشن	VV0	S5+
493	کالعدم	VV0	A1.1.1 B3/X1
494	چھوڑ	NNU	N1
495	کی کوشش کر رہے	VV0	M1 M2 A1.1.1 A1.9 A9- T2-
496	آنے والے	JJ	A12-
497	اسی طرح	VVG	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
498	ایک بار	JJ	A6.1+
499	منٹ	RR	N6- T1.1.1
500	اتھارٹی	NNT2	T1.3 Q1.2
501	انسانی	NN1	G1.1c S7.1+ S7.4+ X2.2+
502	تھوڑا	NN1	S2mf
503	عام	RR	A13.7
504	کردار	NN1	M7
505	صفر	NN1	I3.1 K4 S1.1.1 A1.1.1
506	یورپ	RR	A5.2+ A5.4+
507	ضروری	NP1	Z2
508	فطرت	JJ	S6+ A11.1+
509	کلاس	NN1	W5 A4.1 S1.2 A6.2+
510	وجہ	VV0	A4.1
511	طویل	VV0	X2.1 Q2.2
512	کہہ	VV0	X7+
513	شہر	NN1	Q2.1
514	دکھائیں	NNL1	M7
515	موضوع	VV0	A10+ S1.1.1
516	آواز	VV0	A1.1.1 S7.1+
517	کمپنیوں	VV0	Q2.1
518	کے بعد	NN2	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c
519	بس	RR	N4
520	خاص طور پر	RR	A13.6 A14 A12+
521	محکمہ	RR	A14
522	واحد	NN1	H2 S5+c X2.2
523	مختصر	VV0	A4.2+
524	ذاتی	VV0	O3
525	صفر	JJ	S5- S1.2.1+
526	ادائیگی	MC	N1
527	قدر	VV0	I1.2 A9- I1.1/I3.1
528	رکن	VV0	A11.1+ I1.3
529	شروع	NN1	S5+/S2mf B1
530	دوڑنا	VVD	T2+ E5- E3-
531	مریضوں	VVN	M1/N3.8+ G1.2 G2.1- X3.3 S7.1+ A1.1.1 T2++ M3 S4 A6.3+ K4
532	کاغذ	NN2	B2-/S2mf
533	نجی	VV0	H5
534	سات	NN1	G3/S2mf B1
535	برطانیہ	MC	N1 T3 T1.2
536	نظام	NP1	Z2
537	خود	NN2	X4.2 O3 M3 M4 Q1.3 Y2 B1 N2
538	مشق	PPX1	Z8f
539	بیوی	VV0	A1.1.1
540	قیمت	NN1	S4f
541	قسم	VV0	I1.3
542	لگتا ہے	VV0	Q1.2
543	اعداد و شمار	VV0	A8
544	سابق	VV0	X2.1 X2.5+
545	کھو	NN1	O2
546	حق	VVN	X9.2- A9- M6/A5.3- L1-
547	ضرورت	VV0	A5.3+/A2.1
548	معاملہ	VV0	S6+
549	فیصلہ	VV0	A11.1+
550	بینک	NN1	X6+
551	ممالک	VV0	I1.1 X2.6+ M1
552	یہاں تک کہ	NNL2	M7
553	یونین	II	Z5
554	شرائط	NN	I3.1/S5+c S5+c S4
555	مالی	VVZ	Q2.2
556	ضرورت	JJ	I1
557	جنوبی	JB	S6+
558	جامع	ND1	M6
559	کلب	NNL1	P1/H1c
560	صدر	VV0	K1 E3- S5+
561	دوست	NN1	G1.1/S7.1+/S2mf
562	معیار	NN1	S3.1/S2mf
563	عمارت	NN1	A5.1 A5.1+ O4.1
564	شمالی	NN1	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1
565	تخت	ND1	M6
566	ملاقات	VV0	K4 A1.1.1 A5.4-
567	غیر ملکی	NN1	S1.1.3+ S3.1 K5.1 S9 A1.1.1 X9.2+ A6.1+
568	جلد ہی	JJ	M7
569	مضبوط	RR	T1.1.3/N3.8+
570	صورت حال	JJ	S1.2.5+ N5+ A5.1+ X5.2+ S7.1+ X9.1+ O4.1 S1.2.3+
571	آتا ہے	NN1	A3+ O4.1 M6 I3.1@
572	دیر	VVZ	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
573	بستر	RR	T4- T1.1
574	حالیہ	VV0	L3 S3.2/B1
575	تاریخ	JJ	T3-
576	کم	VV0	T3 S3.2
577	تعلق	VV0	L2/Q2.1
578	لڑکی	JJ	E6- A1.8+ A2.2 S1.1.3+
579	مشکل	NN1	S2.1f L2f@
580	امریکی	RR	O4.1 X8+ X5.2+ N5+ A12-
581	ڈیوڈ	NN1	Z2/S2mf
582	اعلی	NP1	Z1m
583	ٹیکس	RRR	N3.7++ N5++
584	پیداوار	VV0	I1.1/G1.1 A12-
585	مختلف	NN1	A1.1.1 A10+ K4 K3 Q4.3
586	سمجھ	JJ	A6.3+
587	قیادت	VV0	X2.5+
588	لانے	VVN	S7.1+ A2.2 M2 A1.1.1
589	زمین	VV0	M2 A2.2
590	شرائط	VVN	A1.1.1 X3.2 M2 F1 A1.1.1/O4.5 X8+ K1
591	سیکرٹری	NN2	O4.1 S6+ B2- B2+ Z7
592	ہفتے	NN1	I3.2/S2mf S7.1+/S2mf
593	واضح طور پر	NNT2	T1.3
594	برا	RR	A7+ A11.2+ A12+
595	آرٹ	RR	A5.1- G2.2- O4.2- B2-
596	شروع	NN1	C1 X9.1+
597	شامل	VV0	T2+ E5- E3-
598	غریب	VV0	A1.8+
599	ہسپتال	JJ	I1.1- A5.1- N5- E4.1- X9.1-
600	دوستوں	NNL1	B3/H1c
601	فیصلہ	NN2	S3.1/S2mf
602	دکھایا	JB	X6+
603	موسیقی	VVN	A10+ S1.1.1
604	ماہ	NN1	K2
605	انگریزی	NNT1	T1.3
606	کوشش	NP1	Z1mf
607	کھیل	VVN	X8+ X2.4 Q2.2 G2.1 A12-
608	ہو سکتا ہے	NN1	K5.1 K5.2 X7+ A1.1.1 L2 F1
609	کسی	NPM1	T1.3
610	غلط	PN1	Z8mfc
611	طریقوں	VV0	G2.2-
612	باب	NN2	X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3
613	بعد	NN1	Q4.1 T1.3 S9/S5c S5+c
614	قیمت	VVN	M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1
615	کھیلنے	VVN	I1.3 I1.2
616	موجود	VV0	K1 K5.1 K5.2 K2 K3 A1.1.1 K6
617	محبت	VV0	A9- A2.2 Q2.2 S1.1.3+ Q4.3 O4.1 K4
618	مسئلہ	VV0	E2+
619	جاتا ہے	VV0	A9-
620	بیان	VVZ	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
