Language,Word,Expert1_Tags,Expert2_Tags,Expert3_Tags,Expert4_Tags,gold standard tags
ur,اجتماع,"S5, A4.1, S1.1.3, S2, S9","S9, A4.1, S5, S1.1.3, S2","A4.1, S5, S9, S1.1.3","S9, S5, S2, S1.1.3, A4.1","[S9, A4.1, S5, S1.1.3, S2]"
ur,اجنبی,"S5, S2","S5, S2, S1.1.1","S2, S5","S5, S1.1.1, S2","[S5, S2, S1.1.1]"
ur,احتساب,"S7, S7.1, A5.1","S7.1, S7, A5.1","S7.1, A5.1","S7.1, A5.1, S7","[S7.1, S7, A5.1]"
ur,استاد,"P1, I3.2, S2","P1, I3.2, S2","P1, I3.2, S2","P1, I3.2, S2","[P1, I3.2, S2]"
ur,افسوسناک,E4.1,E4.1,E4.1,E4.1,[E4.1]
ur,الزام-لگانا,"G2.2, Q2","Q2.2, Q2, G2.2, S1, S1.1","Q2, G2.2, S1.1","Q2, S1, G2.2, S1.1, Q2.2","[Q2, Q2.2, G2.2, S1, S1.1]"
ur,الگ-کرنا,"A1.1.1, A2.1","A1.1.1, A2.1, A2.2","A1.1.1, A2.1, A2.2","A1.1.1, A2.2, A2.1","[A1.1.1, A2.1, A2.2]"
ur,امریکہ,"W3, Z2, M7, Z3","W3, M7, Z2","W3, M7","W3, M7, Z2, Z3","[W3, M7]"
ur,امن,E3,E3,E3,E3,[E3]
ur,انقلابی,"E3, S1.1.1","E3, S1","E3, S1","E3, S1","[E3, S1]"
ur,انکاری,"Z6, S8","Z6, S8","Z6, S8","Z6, S8","[Z6, S8]"
ur,اول,N1,N1,N1,N1,[N1]
ur,ايجنسی,"I3.1, A4.1, S5, I2.1, G3, Q4, G2, M3, M5","I2.1, G3, A4.1, I3.1, Q4, S5, G1, G2, M3, M5","I2.1, G3, A4.1, I3.1, S5, G1, G2, M3, M4, M7","I2.1, A4.1, M3, M7, G1, G3, I3.1, S5, G2, M5","[I2.1, G3, A4.1, I3.1, Q4, S5, G1, G2, M3, M5, M7]"
ur,اُداس,E4.1,E4.1,E4.1,E4.1,[E4.1]
ur,اچھا,"A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","A5.1, G2.2, O4.2","[A5.1, G2.2, O4.2]"
ur,بارش,"W4, F4","W4, F4","W4, F4","W4, F4","[W4, F4]"
ur,بازار,"M7, I2, Z84","I2, M7","I2, M7","I2, M7","[I2, M7]"
ur,بالاخر,"N4, T2","N4, T2","N4, T2","N4, T2","[N4, T2]"
ur,بتانا,"Q2, Q2.1","Q2.1, Q2, Q2.2","Q2.1, Q2.2","Q2.1, Q2, Q2.2","[Q2.1, Q2, Q2.2]"
ur,بدبودار,"X3.5, A5.1","X3.5, A5.1","X3.5, A5.1","X3.5, A5.1","[X3.5, A5.1]"
ur,بدلنا,"A2.1, A9","A9, A2.1","A9, A2.1","A9, A2.1","[A9, A2.1]"
ur,برا,"Z6, A5.1","A5.1, Z6","A5.1, Z6","A5.1, Z6","[A5.1, Z6]"
ur,برکت,"S9, A9","S9, A9","S9, A9","S9, A9","[S9, A9]"
ur,بصارت,"X3.4, A8","X3.4, A8","X3.4, A8","X3.4, A8","[X3.4, A8]"
ur,بصیر,"S9, S2","S9, S2","S9, S2","S9, S2","[S9, S2]"
ur,بعید,N3.3,N3.3,N3.3,N3.3,[N3.3]
ur,بولنا,"Q1, Q2, Q2.1","Q1, Q2, Q2.1, E6","Q1, Q2, Q2.1, P1","Q1, E6, Q2.1, Q2","[Q1, Q2, Q2.1, E6]"
ur,بَہادُری,"E5, S7.1, G1.1, G3","S7.1, E5, G1.1, G3","S7.1, G3, E5, G1.1","S7.1, G1.1, E5, G3","[S7.1, E5, G1.1, G3]"
ur,بڑھانا,"A2.1, N3.2","A2.1, N3.2","A2.1, N3.2","A2.1, N3.2","[A2.1, N3.2]"
ur,بڑھتے-ہوئے,"N5, A13.3","A13.3, N5","A13.3, N5","A13.3, N5","[A13.3, N5]"
ur,بھوت,S9,"S9, A4.1","S9, A4.1","S9, A4.1","[S9, A4.1]"
ur,بیمار,B2,B2,B2,B2,[B2]
ur,بینک,"H1, M7, I3, I1","M7, I1, I3, H1, A4.1","M7, H1, I3, A4.1, I1","I1, M7, I3, H1, A4.1","[M7, I1, I3, H1, A4.1]"
ur,بیٹا,"S2.2, S4","S4, S2.2","S4, S2.2","S4, S2.2","[S4, S2.2]"
ur,بے-جنس,"S3.2, B1, B2","S3.2, B1, B2","S3.2, B2, B1","S3.2, B1, B2","[S3.2, B1, B2]"
ur,تا-حال,"T1, T1.1.2","T1, T1.1.2","T1, T1.1.2","T1, T1.1.2","[T1, T1.1.2]"
ur,تاريخ,T1.1.1,"T1.1.1, P1","T1.1.1, P1","T1.1.1, P1","[T1.1.1, P1]"
ur,ترمیم-کرنا,A2.1,A2.1,A2.1,A2.1,[A2.1]
ur,تصنیف,"Q1.2, Q4","Q1.2, Q4","Q1.2, Q4","Q1.2, Q4","[Q1.2, Q4]"
ur,تعليم,"P1, X2.2","P1, X2.3, X2.2","P1, X2.3, X2.2","P1, X2.2, X2.3","[P1, X2.3, X2.2]"
ur,تعلیم-دینا,"P1, X2.2, X2.3","P1, X2.3, X2.2","P1, X2.3, X2.2","P1, X2.3, X2.2","[P1, X2.3, X2.2]"
ur,توانائی,X5.2,X5.2,X5.2,X5.2,[X5.2]
ur,تھیلا,"O2, B5","B5, O2","B5, O2","O2, B5","[B5, O2]"
ur,تہہ,"N4, M6, H2","N4, M6, A1, H2","N4, A1, H2, M6","N4, A1, M6, H2","[N4, M6, A1, H2]"
ur,تیرنا,"M4, M1, K5.1","M1, M4, K5.1","M1, K5.1, M4","M1, M4, K5.1","[M1, M4, K5.1]"
ur,تیز,"N3.8, S1.2, O4.1","N3.8, S1.2, O4.1","N3.8, S1.2, O4.1","N3.8, O4.1, S1.2","[N3.8, O4.1, S1.2]"
ur,جاگ-اٹھنا,B1,"A1.1.1, B1","B1, A1.1.1","B1, A1.1.1","[B1, A1.1.1]"
ur,جرمانہ-دینا,I1.2,"I1.2, E3","E3, I1.2","E3, I1.2","[E3, I1.2]"
ur,جلانے-والا,"X3.3, W4, O4.6","O4.6, X3.3, W4","O4.6, X3.3, W4","O4.6, W4, X3.3","[O4.6, W4, X3.3]"
ur,جلد,"O4.1, B1","B1, O4.1","B1, O4.1","B1, O4.1","[B1, O4.1]"
ur,جلدی-کرنا,"N3.8, M1","M1, N3.8","N3.8, M1","N3.8, M1","[N3.8, M1]"
ur,جمائی-لینا,B1,"B1, S1.1.1","B1, S1.1.1","B1, S1.1.1","[B1, S1.1.1]"
ur,جوڑنا,"A2.2, S3","S3, A2.2, A1.1.1","S3, A2.2","S3, A2.2","[S3, A2.2]"
ur,جھگڑا,"E3, S8, S7.3","E3, A1.1.1, S7.3, S1.1.2, S8","S8, S7.3, E3, A1.1.1, S1.1.2","S8, A1.1.1, S7.3, E3","[S8, E3, S7.3, S1.1.2, A1.1.1]"
ur,حصہ,"S1.1.3, O2, N5.1","N5.1, Z84, S1.1.3","N5.1, S1.1.3, O2","N5.1, S1.1.3, O2","[N5.1, O2, S1.1.3]"
ur,حوالہ,"Q2.1, Q1","Q2.1, Q1","Q2.1, Q1","Q2.1, Q1","[Q2.1, Q1]"
ur,حیران-کن,"X5.2, A5.1",X5.2,"X5.2, A5.1","X5.2, A5.1","[X5.2, A5.1]"
ur,حیرت,"E6, X2.5","E6, X2.5","X2.5, E6","X2.5, E6","[X2.5, E6]"
ur,خاتمہ,"T2, N5.1","T2, N5.1","T2, N5.1","T2, N5.1","[T2, N5.1]"
ur,خبر,"X2.2, G1, Q4.3, Q4.2","Q4.2, Q4.3, X2.2, G1","X2.2, G1, Q4.3, Q4.2","X2.2, G1, Q4.2, Q4.3","[X2.2, Q4.2, Q4.3, G1]"
ur,خرگوش,L2,L2,L2,L2,[L2]
ur,خلاصہ,"A11, N3.7, T1.3, A12, A4.2","A11, A12, A4.2, N5, T1.3, N3.7","A11, A12, A4.2, T1.3, N5, N3.7","A11, N5, A4.2, N3.7, T1.3","[A11, A12, A4.2, N5, T1.3, N3.7]"
ur,خواب,"X2, X2.1, S9","X2, X2.1, X7, S9, A1","X2, A1, S9, X2.1, X7","X2, X2.1, X7, S9, A1","[X2, X2.1, X7, S9, A1]"
ur,خوش,"E4.1, E4.2","E4.1, E4","E4.1, E4","E4.1, E4","[E4.1, E4.2]"
ur,خوشگوار,"S1.2.4, O4.2, S1.2.1, S2, S1.2","S1.2.4, O4.2, S1.2, S2, S1.2.1","S1.2.4, S1.2, O4.2, S1.2.1, S2","S1.2.4, S2, S1.2.1, S1.2, O4.2","[S1.2.4, O4.2, S1.2, S2, S1.2.1]"
ur,درخت,"L3, W5, F1","L3, W5, F1","L3, W5, F1","L3, F1, W5","[L3, W5, F1]"
ur,دشمن,"S1.2.1, A4.1, G1.2, S2, S8","S1.2.1, S2, S8, A4.1, G1.2","S1.2.1, A4.1, S2, G1.2, S8","S1.2.1, A4.1, G1.2, S2, S8","[S1.2.1, S2, S8, A4.1, G1.2]"
ur,دور,"A13.3, N3.3","A13.3, N3.3","A13.3, N3.3","A13.3, N3.3","[A13.3, N3.3]"
ur,دکان,"I2.2, I2, I2.1, H1, M7","I2.2, I2, I2.1, M7, H1","I2.2, I2.1, I2, M7, H1","I2.2, H1, I2, I2.1, M7","[I2.2, I2, I2.1, M7, H1]"
ur,دکھانا,"O4.1, B1","O4.1, B1","O4.1, B1","O4.1, B1","[O4.1, B1]"
ur,دھات,O1.1,O1.1,O1.1,O1.1,[O1.1]
ur,رد-کرنا,"A5.2, S1","A5.2, S1","A5.2, S1","A5.2, S1","[A5.2, S1]"
ur,رشتہ,"S3, S3.1, S3.2, A2.2, S4","S3, S3.1, S3.2, A2.2, S4","S3, A2.2, S3.2, S4, S3.1","S3.1, A2.2, S4, S3.2, S3","[S3, S3.1, S3.2, A2.2, S4]"
ur,رُخصت-ہونا,"A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, M1, T1","A1.1.1, A1.6, T1, M1","[A1.1.1, A1.6, M1, T1]"
ur,رکنا,"T1, M8, S8, A1.1.1","T1, S8, M8, A1.1.1","T1, M8, A1.1.1, S8","T1, S8, M8, A1.1.1","[T1, S8, M8, A1.1.1]"
ur,رینگنا,"M1, N3.8","M1, N3.8","M1, K6, N3.8","M1, N3.8, K6","[M1, K6, N3.8]"
ur,زیادہ-بوجھ-ڈالا,N5.2,N5.2,N5.2,N5.2,[N5.2]
ur,سائیکل-سوار,"K5.1, M3, S2","M3, K5.1, S2","K5.1, S2, M3","K5.1, M3, S2","[K5.1, S2, M3]"
ur,ساحل,"W3, M7","W3, M7","W3, M7","W3, M7","[W3, M7]"
ur,سازش,"G1.2, S1, G2.2, A10","G1.2, A10, G2.2, S1","G1.2, A10, S1, G2.2","G1.2, G2.2, A10, S1","[G1.2, A10, G2.2, S1]"
ur,ستارہ,"W1, O4.4, A5.1","W1, O4.4, A5.1","W1, A5.1, O4.4","W1, O4.4, A5.1","[W1, O4.4, A5.1]"
ur,سرد,"O4.6, X3.3, W4","O4.6, X3.3, W4","O4.6, W4, X3.3","O4.6, X3.3, W4","[O4.6, X3.3, O4.6, W4]"
ur,سستا,"I1.3, I2.2","I1.3, I2.2","I1.3, I2.2","I1.3, I2.2","[I1.3, I2.2]"
ur,سمندر,"N3.6, M7","N3.6, M7","N3.6, O4.4, M7","N3.6, M7, O4.4","[N3.6, O4.4, M7]"
ur,سنوارنا,"A5.1, A2.1","A2.1, A5.1","A2.1, A5.1","A2.1, A5.1","[A2.1, A5.1]"
ur,سنیما,"K4, H1, K1, Q4.3, M7","K4, Q4.3, H1, K1, M7","K4, K1, Q4.3, M7, H1","K4, K1, M7, H1, Q4.3","[K4, Q4.3, H1, M7, K1]"
ur,سکون,"E3, S1.2, E4.2","E3, E4.2, S1.2","E3, E4.2, S1.2","E3, E4.2, S1.2","[E3, E4.2, S1.2]"
ur,سیال,O1.2,O1.2,O1.2,O1.2,[O1.2]
ur,سیلاب,"W4, O1.2, M4","W4, M4, O1.2, A1.1.2","W4, O1.2, M4","W4, O1.2, Z84, M4","[W4, O1.2, M4]"
ur,شاگرد,"P1, S2","P1, S2","P1, S2","P1, S2","[P1, S2]"
ur,شخص,S2,S2,S2,S2,[S2]
ur,شکل,"O4.1, O4.2","O4.1, O4.2","O4.1, O4.2","O4.1, O4.2","[O4.1, O4.2]"
ur,شہر,"M7, W3","W3, M7","W3, M7","W3, M7","[W3, M7]"
ur,صاف,"X3.4, O4, A1.6, O4.1","X3.4, A1.6, O4, O4.1","X3.4, A1.6, O4.1, O4","X3.4, O4.1, O4, A1.6","[X3.4, A1.6, O4, O4.1]"
ur,صف-باندھنا,"M6, A6.1","A6.1, M6","M6, A6.1","M6, A6.1","[M6, A6.1]"
ur,صفائی,"B4, Z84, W5, A1.1.1","B4, W5, A1.1.1","B4, W5, A1.1.1","B4, W5, A1.1.1","[B4, A1.1.1, W5]"
ur,صفحہ,"Q1.2, Q4.2, Q4.1, O1.1, O2","Q1.2, O1.1, O2, Q4.1, Q4.2","Q1.2, O1.1, Q4.2, O2, Q4.1","Q1.2, Q4.2, Q4.1, O1.1, O2","[Q1.2, O1.1, O2, Q4.1, Q4.2]"
ur,طاقت,"A1.1.2, G3","G3, A1.1.2","G3, A1.1.2","G3, A1.1.2","[G3, A1.1.2]"
ur,عادی,"B2, F3, A15, G2.1, S2.2, S2.1","B2, F3, A15, G2.1, S2.2, X1","F3, B2, A15, G2.1, S2.1, X1","B2, F3, A15, G2.1, S2.1, X1",[F3]
ur,عاشق,"S3.2, S2, E1, E2","S3.2, S2, E2, E1","S3.2, E2, E1, S2","S3.2, S2, E2, E1","[S3.2, S2, E2, E1]"
ur,علاج,B3,B3,B3,B3,"[B3, B2]"
ur,علاقہ,"M7, N3.6, A4.1","M7, A4.1, N3.6","M7, A4.1, N3.6","M7, A4.1, N3.6","[M7, A4.1, N3.6]"
ur,عورت,S2.1,S2.1,S2.1,S2.1,[S2.1]
ur,غذا,F1,F1,F1,F1,[F1]
ur,غسل,"B4, S1.1.1, O4.2","B4, O4.2, S1.1.1","B4, O4.2, S1.1.1","B4, S1.1.1, O4.2, S9","[B4, B4, O4.2, S1.1.1]"
ur,فلم,"K1, Q4.3","Q4.3, K1","Q4.3, C1, K1","Q4.3, C1, K1","[Q4.3, C1, K1]"
ur,فوجی,"G3, S2","G3, S2","G3, S2","G3, S2","[G3, S2]"
ur,قابض-ہونا,"A9, G2","A9, E1, G2","A9, E1, G2","A9, E1, G2","[A9, E1, G2]"
ur,قابل-کراہت,O4.2,O4.2,O4.2,O4.2,[O4.2]
ur,قابلیت,A4.2,A4.2,A4.2,A4.2,[A4.2]
ur,قانون-توڑنا,"G2.1, A1.1.2","G2.1, A1.1.2","G2.1, A1.1.2","G2.1, A1.1.2","[G2.1, A1.1.2]"
ur,قحط,"N5, A1.1.2, W4","N5, W4, O4.6, A1.1.2","N5, A1.1.2, O4.6, W4","N5, A1.1.2, W4, O4.6","[N5, W4, O4.6, A1.1.2]"
ur,قدم,M1,"M1, N3","M1, N3",M1,"[M1, N3]"
ur,قدم-اُٹھانا,M1,M1,M1,M1,[M1]
ur,قدیم,"T3, T1.1.1","T1.1.1, T3","T1.1.1, T3","T1.1.1, T3","[T1.1.1, T3]"
ur,قریب,"N3.3, M1","M1, N3.3","M1, N3.3","M1, N3.3","[M1, N3.3]"
