language,word,NoneExpert1_tags,NoneExpert2_tags,NoneExpert3_tags,NoneExpert4_tags,gold standard tags
ar,اغنية,"K2, K3, T2, T3","K2, K3, T2, T3","K2, K3, T2, T3","K2, K3, E1, E4.1","[K2, K3]"
ar,اقترب,"A15, E2, E6, S8","X3.3, Z84, M1","M1, M8, M6","M1, A1.2","[L3, W5]"
ar,الاول,"M1, A11.1, N1, N2, N4, N5.1, N6, N3.1","N3.3, M1, A1.1.1, A6.3","N3.3, Z84, M1, M6, Z3, S7.3","T3, S7.3","[M1, N3.3]"
ar,الخلاص,"L1, E1, E4.1","L1, E1","X4.1, S9, S1.1.4","S9, S8, X1",[N1]
ar,الرابع,"X9.2, N4, N6","X9.2, N1, N4, N6, N3.8, N3.1","X9.2, Z3, E4.1","N1, S7.3, K5.1, K6, N4","[A15, X9.2]"
ar,الفروسية,"G3, E5, K1","E1, A4.1, S7.3","S7.3, T2","M3, M1, Z3",[N1]
ar,"المساءلة","G2.2, P1, Z84, Y1, Y2, N2","N2, N1, N3.7, N3.5, P1","G2.2, E5, Y1, P1","S6, I2.1","[E5, G2.2, G3]"
ar,"الهدوء","S7, A5.1, E4.1, E1, E6, E5, E3","S7.1, Z84, A15, B1","A5.1, S7, E1, E6",A1.3,"[S7.1, S7, A5.1]"
ar,امراة,"S2.1, S3.2, S1.1.1, S7.2","S2.1, S1.1.1, S3.2","S2.1, Z3, E2, E4.1",S2.1,[S2.1]
ar,امريكا,"Z1, Z2, E1, G1.1, G2.1, E4.1, K5.1","Z2, W3, T4","Z2, Z1, M6, G1.1, G1.2, G2.1, G2.2, G3",Z2,"[Z1, Z2]"
ar,املس,"X3.3, B4","X3.3, B4, B5","X3.3, O4.5, S2.1","X3.3, O4.5","[O4.5, X3.3]"
ar,امن,"E6, A15, S8, H3","A15, E6, E5, E3, E1","E6, A15, S8, H3","A15, E6, G1.1, G2.1, G2.2","[A15, E6]"
ar,انتهك,"E6, E4.2, E4.1, A1.3, A1.1.2, A1.6","E6, A1.1.1, A1.1.2","E6, E3, E5, E2, E1","S1.2.4, S1.2.1, E6, A15","[E6, S1.2.1, S1.2.4]"
ar,انتهى,"T2, N5.1, A1.8, A1.1.1, E4.1","T2, N5.1, L1, T1.1.1","N5.1, T2, T1.3","T2, A1.1.2","[T2, N5.1]"
ar,ايجابي,"A5.1, E4.1, E2, E1","A5.1, E4.1, E2","A5.1, S3.1, S1.2.6","A5.1, E1",[A5.1]
ar,باخلاص,"S1.2, G2.2, A1, P1, G2.1, B4","S1.2, A1.1.1","A1, G2.2, S1.2, E2, S1.1.2","S1.2.2, S8","[S1.2, G2.2, A1]"
ar,بارد,"W4, X3.3, O4.6, A15, A6.1","O4.6, X3.3, W4, F2, F1","X3.3, W4, O4.6, Z3, X3.1, F2","X3.3, O4.6, W4","[O4.6, W4, X3.3]"
ar,بالرقة,"S1.2, A12, A1.1.1, A1.1.2, A1.3, E4.1",S1.2,"S1.2, A12, E3, M1","X3.3, A12","[A12, S1.2]"
ar,برد,"X3.3, O4.6, W4, A6.1","O4.6, X3.3, W4","O4.6, W4, X3.3, X3.1","O4.6, W4","[X3.3, O4.6, W4]"
ar,بشع,"A5.1, Z84, O4.2, A1.1.1, A3","A5.1, Z84, O4.2, X3.5","A5.1, O4.2, B3, S7.3","O4.2, A5.1","[O4.2, A5.1]"
ar,بشكل-رائع,"X5.2, A5.1, A1.1.1, A2.1, E1, E4.1","X5.2, Z84, A5.1","A5.1, X5.2, E2, B5, H1, S7.3","E2, A8, A5.1, X5.2","[X5.2, A5.1]"
ar,بشكل-متزايد,"N5, A11.2, N6, A1.1.1, A1.1.2, E4.1","A11.2, N5, N6","A11.2, N5, N6, E1, N1","A11.2, N5, N6, E1, N1","[N5, N6, A11.2]"
ar,بعوضة,"L2, A15","L2, S3.1, A1.1.2","L2, F4",L2,[L2]
ar,بعيد,"N3.3, N3.8, M5, T1.1.3","N3.3, T4, G2.1","N3.3, M1, M5, M6, N3.7","N3.3, A5.3",[N3.3]
ar,بلد,"W3, M7, Z2","M7, W3, Z2","M7, W3, G1.1, H4","M7, W3","[M7, W3]"
ar,بنك,"H1, Z84, I1, A4.1, M7, Z3, I2.1, I2.2, I1.1, I1.2","A4.1, M7, I1, H1","A4.1, H1, I1, M7, Z3","I1, I1.2, I2.1","[M7, A4.1, I1, H1]"
ar,تاريخ,"T1.1.1, T3",T1.1.1,"T1.1.1, T1.2","T1.1.1, T3",[T1.1.1]
ar,تاليف,"Z84, O4.1, Q1.2, C1, P1","A4.1, O4.1, Q1.2, C1","Q1.2, O4.1, C1",A3,"[O4.1, Q1.2, A4.1]"
ar,تحدي,"S7.3, G3, A1.9","G3, S7.3, E3, E6","G3, S7.3, X4.2, X2.1","S1.1.1, X9.2, A1.1.1","[S7.3, G3]"
ar,تعليم,"X2.2, Z84, Z85, X2.3, P1, S1.1.3","X2.3, X2.2, P1, T4, S8, K2","P1, X2.3, X2.2, X2.5","P1, X2.3, Z85, X2.2","[P1, X2.3, X2.2]"
ar,تغميس,"Z84, F1","Z84, F1","F1, Z3",F1,"[A1.5.1, F1]"
ar,تقايض,"I2, S1.1.2, E1, I1.1, I2.1, I3.1","I2, I1.1, I3.1","I2, S1.1.2, I1.1, I2.1","I2.2, I2, I2.1, S1.1.2","[S1.1.2, I2]"
ar,تماما,"N5.1, A13.2, N3.1","A13.2, N5.1","N5.1, A13.2, Z1, Q3","A13.2, Z5","[N5.1, A13.2]"
ar,تنظيف,"B2, A1.1.1, B4, B5","A1.1.1, B4, B2, B5","A1.1.1, B4, W5, B5","B4, A1.1.1","[B4, A1.1.1, W5]"
ar,ثابت,"O4, N6, Z84, Z85, M8, E3, M1","N6, E3, M8, O4","O4, M8, E3, N6",M8,"[M8, E3, O4, N6]"
ar,ثوري,"E3, S1, M1, E4.2, E4.1","E3, S1, E1, E4.1, E6","S1, Z84, E3, G3, E6","S1, E3, A2.1","[E3, S1]"
ar,جدول,"A4.1, Z84, A4, T1, P1, T2, N1, N2","T1, A4.1, A4, T2","A4.1, A4, T1, P1, N4","T1, T1.3, T4","[A4.1, A4, T1]"
ar,جذاب,"S1.2.6, A5.1, S2.2, S1.2, B2, B4","S2.2, S1.2.6, A5.1, S1.2.1, S1.2, E1","S1.2.6, A5.1, S1.2, S1.2.1, S2.2, B5, B4, Z3, O4.4","A8, A5.1, S1.2.1, S2.2, S2.1, S1.2","[S1.2, S1.2.6, S2.2, A5.1, S1.2.1]"
ar,جسر,"H1, M7, O4.4, W3, H2","H1, O4.4, M7, W3, C1","O4.4, H1, W3, M7, H3, Z3",H1,"[H1, M7, O4.4, W3]"
ar,جلد,"B1, O4.1, B2, B4","O4.1, B1, B4, S2.1","O4.1, B1, B4","O4.1, B1","[B1, O4.1]"
ar,جميل,"O4.2, B4, B5, C1, H1, K6","O4.2, S2.1, S2.2, C1","O4.2, B5, W4, Z1, Z3","O4.2, A5.1",[O4.2]
ar,جندي,"G3, G2.1","G3, G2.1, S2.2",G3,G3,"[G3, S2.1]"
ar,جنية,"S9, A4.1, C1, E5","A4.1, S9","S9, X4.1, Z3","S9, X4.1, Z3","[S9, A4.1]"
ar,جيد,"A5.1, N3.1","A5.1, N1, N3.1, P1","A5.1, C1, S3.1, P1","A5.1, C1, S3.1, P1",[A5.1]
ar,حار,"O4.6, W4, N3.1, Y1","O4.6, W4, Y1, F1","O4.6, W4, Z3, F1","O4.6, W4, T4, T1.2, Q4.3, Q4.2","[O4.6, W4]"
ar,حارق,"O4.6, W4, X3.3, Y1, N1","X3.3, W4, Y1","W4, X3.3, O4.6, Y1, O1.2","W4, O4.6, X3.3","[O4.6, W4, X3.3]"
ar,حبيب,"E2, Z84, E1, E4.1","E2, E1, E4.1, S7.2","E2, E1, E4.1, Z1, Z3","E2, A5.1, E4.2, E4.1","[E2, E1]"
ar,حجر,"O1.1, C1, H2, H4","O1.1, H2, C1, W1","O1.1, H2, Z3, F4","O1.1, H2, Z3, F4",[O1.1]
ar,حزين,"E4, E1, E6","E4, E4.1, E1","E4, E3, E5, E6, Z3","E4.1, E4, Z84",[E4]
ar,حقيبة,"B5, O2","O2, B5, S2.1","B5, O2","O2, B5","[B5, O2]"
ar,حلزوني,"O4.4, O4.1, C1","O4.4, O4.1, C1","O4.1, O4.4, C1, Z3","O4.1, O4.4","[O4.4, O4.1]"
ar,حلم,"S9, A1, X2, E4.1","X2, S9, E1","X2, S9, A1.6, X3.4","X2, X1","[X2, S9, A1]"
ar,حيرة,"E6, E4.2, E4.1","E6, E1, S1.2.5","E6, E1, E4.1",E6,[E6]
ar,حيلة,"A10, E1","A10, E1, S8","A10, A1.3, A1.7","G2.2, X9.2",[A10]
ar,خبر,"G1, Z84, Q1, S1.1.2","G1, Q1","Q1, G1, W4, Z3","Z84, Q4.3, Q4.2, Q1","[Q1, G1]"
ar,خروج,"A1.6, A1.1.1, M1","A1.6, Z84, A1.1.1, M1","A1.6, A1.1.1, M1, Z3","M1, S5, A1.1.1","[A1.1.1, A1.6]"
ar,خطوة,"N3, M1, E1","N3, M1","N3, M1, N3.3",N3,[N3]
ar,دافئ,"W4, O4.6, N3.1, A13.1","W4, O4.6, O1.3","W4, O4.6","O4.6, W4","[O4.6, W4]"
ar,دمار,"A1.1.2, G2, G3","G2, A1.1.2, G3, G1.2, G1.1","G2, A1.1.2, G3","A1.1.2, G2","[A1.1.2, G2]"
ar,رجل,"S2.2, S1.2.5, S7.2",S2.2,"S2.2, G3",S2.2,[S2.2]
ar,رخيص,"I2.2, I1.3","I1.3, I2.2, I1.1","I2.2, I1.3","I1.3, I2.2","[I1.3, I2.2]"
ar,رياح,"W4, O1.3","W4, M5","W4, Z84, M5, O1.3",W4,[W4]
ar,زرع,"F4, L3, B3, F1, H3, M3","F4, F1, L3","F4, F1, O1.1",F4,[F4]
ar,زور,"A1.1.1, M7, M1","A2.1, E1","A2.1, G1.2","A2.1, G2.1, G2.2","[A2.1, O4.4]"
ar,سائل,"O1.2, Z84, F2, X3.1","O1.2, F2","O1.2, F2, M4, Z3",O1.2,[O1.2]
ar,سريع,"N3.8, M1, E6, S8","O4.1, N3.8, M1, M5, Z1","O4.1, Z84, N3.8, M5, M1, Z1, Z3","N3.8, T1.3","[N3.8, O4.1]"
ar,سعيد,"E4.1, E4.2, S2, S2.1, S3.1","E4.1, E4.2, S2, E1","E4.1, Z84, E4.2, S2, E1","E4.1, E4.2","[E4.1, E4.2, S2]"
ar,سفينة,"M4, Z84","M4, Z3","M4, Z3, M1",M4,[M4]
ar,سلام,"E3, A15, A1.1.1","E3, E1, E4.1, Z1","E3, E1, S8, S7.2","G3, E3",[E3]
ar,سهل,"A12, X2.5","A12, Z3, X9.2","A12, E4.1, E4.2, Z1",A12,[A12]
ar,سوق,"M7, Z84, I2.2","I2.2, M7, Z3","I2.2, M7, Z3, H3","M7, I2.2, B5, F1, F2","[I2.2, M7]"
ar,"سيء","Z6, A5.1","A5.1, Z6, E1, E3","A5.1, Z6, E4.1, S5","Z6, A5.1","[A5.1, Z6]"
ar,سير,"M1, Z84","G3, M1","M1, G3, K5, M3","M1, M3","[M1, K5, G3]"
ar,سينما,"M7, K4, X3.2, Q4.3","M7, K1, K4, Z3, F2","K4, K1, M7, Z3, H1","K1, K4, M7","[K4, M7, K1]"
ar,شاحنة,"F4, M1, M2","M3, Z3","M3, B5, M2, Z3",M3,"[M3, B5]"
ar,شجار,"A1.1.1, E3, M1, E4.2, E6, E5","A1.1.1, E3, E1, E5, E6","S1.1.2, E3, A1.1.1, E1, S2.2","E3, Q2.1, S1.1.2","[E3, S7.3, S1.1.2, A1.1.1]"
ar,شخص,"S2, S2.1, S2.2","S2.1, S2, S2.2, L1","S2, S2.2, S2.1, Z3","S2, S2.2, S2.1","[S2, S2.1, S2.2]"
ar,شكل,"Z84, O4.4, E2, A1.1.1","O4.4, O4.1, O4.2","O4.2, O4.1, O4.4","O4.4, O4.1","[O4.1, O4.2, O4.4]"
ar,شيطانية,"A2.2, S9, A1.1.1","A2.2, S9, X1","A2.2, S9, Z3, E5","S9, A2.2","[S9, A2.2, A1]"
ar,صاروخ,"G3, Z84, X3.2, Z6, M1, E6, E5","G3, M5","G3, M5, Z3, Z1","G3, M5, Z3",[G3]
ar,صرخ,"X5, E3, E5, E4.1","X5, Q1.1, A1.3","Q1.1, S1.2.1, X5, E3","Q1.1, X5, A1.1.1","[Q1.1, X5]"
ar,صعب,"A12, X2.3, X2.4, X8, N2","A12, Z1, E2, E6","A12, S8, S1.2.1",A12,[A12]
ar,صفحة,"O1.1, Q1.2, X2.4, Q4.1, Q4.2","O1.1, Q1.2, Z3","Q1.2, O1.1, Z3, Q2.2",Q1.2,"[Q1.2, O1.1]"
ar,صفى,"O1.2, M8, Z1, Z3","O1.2, M8, Z1","M8, O1.2","A8, A5.1, O1.2","[M8, O1.2]"
ar,صمغ,"O4.5, O1.2, Z3, Y1",O1.2,"O4.5, O1.2, F4","O1.2, Z84, O4.5","[O1.2, O4.5]"
ar,صوت,"X3.2, K3, K2, E1","K3, Z84, X3.2, K2","K2, K3, X3.2, K1","X3.2, K3, K2","[X3.2, K3, K2]"
ar,ضخم,"N3.2, A2.1, N3.4, Z3","N3.2, N5.1","N3.2, A2.1, N3.4, N5.1, H1, H4, H3",N3.2,"[A2.1, N3.2]"
ar,ضربة,"A1, A1.4, A1.1.2, A1.6, K5.1","A1.4, A1.6, A1, A1.1.2, G3","A1.4, A1, A1.6, A1.1.2, G3","A1.6, A1.1.2, A1.4, A1","[A1.1.2, A1.4, A1, A1.6]"
ar,طالب,"S2.2, P1, Z1","P1, S2.2, X2.3, X2.5, X5.1","P1, Z84, S2.2, A11.1","P1, X2.3, X2.2, X9.1, S2.2","[P1, S2.2]"
ar,طعام,"F1, Z84, F4, L3","F1, L3, L1, A11.1","F1, F4, L3",F1,[F1]
ar,طور,"A5.1, A2.1, S8, S7.1","A5.1, Z85, A2.1","A2.1, A5.1, P1","A2.1, A5.1","[A2.1, A5.1]"
ar,طويل,"O4.1, N3.7, N3.1","N3.7, N3.2, N3.3, N3.1","N3.7, O4.1, N3.2, N3.1","N3.7, O4.1","[N3.7, O4.1]"
ar,طين,"O4.5, O1.1, F4, W5","O1.1, O4.5, H2","O1.1, O4.5, F4, H3, C1","O1.1, H1, O4.5","[O1.1, O4.5]"
ar,عامل,"I3.1, I3, Z3, H1","I3.1, I3, H2, I2.1, S2.2","I3, I3.1, A1.5.2","I3.1, I3","[I3, I3.1]"
ar,عدو,"A4.1, S7.3, G3, E1","S7.3, G3","A4.1, S7.3, G3, M1",G3,"[S7.3, A4.1]"
ar,عربة,"B5, M3, M1","B5, M3","M3, B5, M1, M2, Z2",M3,"[M3, B5]"
ar,علاج,"B3, B2, A2.1","B2, B3, E4.1","B3, B2, E1, X4.2","B3, B2","[B3, B2]"
ar,علاقة,"S3, E1, A1.1.1","S3, S2.1, S2.2, S3.1, L1","S3, S3.2, S3.1, E4.1, E2, S2.1, S2.2","S3, A2.2, A2.1, S3.1, S3.2, S4, S5, S6, S7.2",[S3]
ar,عمق,"N3.7, M7, O4.4, N3.3","O4.4, N3.7","M7, O4.4, N3.7, N3.3","N3.7, W3, Z84","[N3.7, O4.4, M7]"
ar,عمل,"I3.1, Z84, A1.6, I2, A1.1.1","I3.1, A1.1.1, I2","I3.1, A1.6, I2, A1.1.1, S2.2, S2.1","I3.1, I2, I3.2, A1.1.1","[I2, I3.1, A1.1.1, A1.6]"
ar,عيد-الميلاد,"S9, T1, Z3, E4.1","T1, S9, Z3","Z3, T1, S9","T1.2, T1, K1","[S9, Z3, T1]"
ar,غافل,"B1, A1.1.1, Z1","A1.1.1, E1","A1.1.1, B1, E6","X1, X2.2, A1.9","[B1, A1.1.1]"
ar,غائب,"A10, Z3, M2","A10, M1","A10, E1, S2.2, M8","A3, A10",[A10]
ar,غثيان,"B2, E6, M4, E1, E4.2","E6, B2, S2.1","E6, B2, F3","B2, B3, F1","[B2, E6]"
ar,فترة,"T1.3, T1.1","T1.3, T1.1","T1.1, T1.3, N3.1","T1.3, T1.1","[T1.3, T1.1]"
ar,فرحان,"E4, E4.1, E1","E4.1, E4, E4.2","E4, E4.1, E1, E2","E4, E4.1","[E4.1, E4]"
ar,فرن,"X5.2, H5, F1","H5, F1, M1","H5, X5.2, F1, O4.6, O1.1","H5, F1, O4.6","[H5, X5.2]"
ar,فلم,"Q4.3, E4.1","Q4.3, K4","Q4.3, E1, K1",Q4.3,[Q4.3]
ar,فوضى,"B4, G3","B4, G3","B4, G3, E1, C1","A4.1, S7.1, B4",[B4]
ar,قاعدة,"H2, A4.1, A1, A11, Z1, Z3","H2, A11, A1, A4.1","A11, H2, A1, A4.1, Z2, F4","H2, G3, Y1","[A1, A4.1, H2, A11]"
ar,قال,"Q2.1, Q2, Z4","Q2, Q2.1, S2.2","Q2.1, Q2, S2.2, Z8","Q2.1, Z84, Q2, A1.1.1","[Q2.1, Q2]"
ar,قبض,"A10, O4, G3, E1","A1.7, A10, O4, G2.1, E5, G3","A10, O4, A1.5.2","A10, G2.1, A9, A1.7","[A10, A1.7, O4]"
ar,قحط,"O4.6, W5, W4, L1, F4","O4.6, W4, W5, F4","W5, W4, O4.6, L1, L3","W5, F4, L1","[W4, W5, O4.6]"
ar,قديم,"T1.1.1, T3, T1.3","T1.1.1, T3","T1.1.1, T3, C1, H1","T1.1.1, T3","[T1.1.1, T3]"
ar,قذر,"B4, A5.1, E1, A1.7","A5.1, B4, E2","B4, A5.1, B2, E1","B4, G2.2","[B4, A5.1]"
ar,قسم,"A4.2, Z84, A14, H2","A4.2, Z84, A14, H2","A4.2, A14, H2, Y1, Y2","A14, H2","[A4.2, A14]"
ar,قصبة,"B1, Z84, Z2","B1, Z2","B1, Z2, F1","B1, Z2, L3, H2",[B1]
ar,قضية,"G2, G1.1, G3","G2, G1.1, G2.2, G2.1","G1.1, G2, S7.4, G1.2","G1.1, S5","[G2, G1.1]"
ar,قلق,"E6, E1, E4.1","E6, E1, S1.1.2","E6, E1",E6,[E6]
ar,قمح,"L3, F1","F1, L3, F4, W5","L3, F1, F4","F1, L3","[F1, L3]"
ar,قوالب,"O1.1, O2","O2, O1.1, C1, H5","O1.1, O2, C1, H2","O4.4, C1, F1, O1.2, O1.1, O4.3, O2","[O2, O1.1]"
ar,قوة,"G3, A1.1.1","G3, E1, S1.2.1","G3, Z84, S2.2","S7.1, G3, S6",[G3]
ar,قيمة,"I1.3, I1, N3.1","I1.3, I1, N3.1","I1, I1.3, C1, H1, H5","I1.3, I1, I1.1, C1, H4, H5","[I1.3, I1]"
ar,كادر,"S2, Z85, G1.1, A4.1, S5","A4.1, S5, S2, G1.1, X2.3","G1.1, S2, A4.1, S5, G3","G1.1, I3.1, S2","[A4.1, S5, G1.1, S2]"
ar,كبح,A1.7,A1.7,A1.7,"A1.7, S3.2",[A1.7]
ar,كتاب,"Q1.2, P1, Q3","Q1.2, P1, O1.1, Z3","Q1.2, P1, Y2, Y1, Q4.1, Q3, N3.1, A1.1.1","Q4.1, X2.2, P1, Q1.2","[Q1.2, P1]"
ar,كرة,"O4.1, O4.4, O4, O1.1, Z3","O4.4, O4, O4.1, O1.1, Z2","Z85, X3.3, Z3, O1.1, O4.4","O4.4, K5.1, K5.2, O4.1","[O4.1, O4.4, O4]"
ar,كريه,"A5.1, X3.5, E2, E4.2","A5.1, X3.5, E1, E4.1, S3.1","A5.1, X3.5, E2, E1","X3.5, A5.1, A8","[X3.5, A5.1]"
ar,كليا,"N5.1, N6, T1.1.2",N5.1,N5.1,"A13.2, N5.1",[N5.1]
ar,كمين,"A10, G3, E5, A1.3, E1","A10, E5, A1.3, G3","E5, A10, A1.3, G3","G3, A15, E5","[A10, A1.3, E5]"
ar,كوب,"F2, O2, O1.1","F2, O2, O1.1","F2, O2","O1.2, F2, O2","[O2, F2]"
ar,لا-تناسلي,"B2, S3.2, E5","B2, S3.2, L2","S3.2, B2, L2, L3","B2, S3.2","[S3.2, B2]"
ar,ليس-بعد,"T1.1.2, T1","T1, T1.1.2, M7, M8","T1, T1.1.2","T1, T4, T1.1.2","[T1, T1.1.2]"
ar,متأخر,"T4, E4.1","T4, T1.1.1","T4, T2, T3","T4, T1.1.1",[T4]
ar,متباعد,"N3.3, N3.1, T3","N3.3, N3.6","N3.3, M7, H3",N3.3,[N3.3]
ar,متجر,"I2, M7, I2.2, H1, H3, K6","I2, I2.2, M7, H1, H2, H3","I2.2, M7, I2, E2, F1, F2","I2.2, M7, F1, F2, F3, H5","[I2.2, I2, M7]"
ar,متسابق,"M3, K5.1, M1, Z1, X5.1","K5.1, Z84, Z85, M3, S2.2","K5.1, Z84, X2.4, T1.3, T2","Z84, K5.1, S7.3","[K5.1, M3]"
ar,متنوع,"A6.3, N3.1, W1","A6.3, L2, L1, L3","A6.3, X2.3, F1, F2, L3, M7",A6.3,[A6.3]
ar,مثقاب,"A2.2, O2, H5, O1.1","A2.2, H5, O2, O1.1","A2.2, H5, O2, O1.1",O2,"[O2, A2.2, H5]"
ar,محاكاة,"O4.1, A6.1, Y2","A6.1, O4.1, K1, K6","A6.1, O4.1, K6",Q3,"[O4.1, A6.1]"
ar,محزن,"E1, E4, E4.1, E2","E4, E1, E6","E4, E1, G3, E2, E4.2","E4, E4.1, E4.2","[E4, E1]"
ar,محطم,"A1.1.2, E1, S3.1, X4.1","A1.1.2, C1, G3","A1.1.2, Z84, G3","A1.1.2, A15, X9.2",[A1.1.2]
ar,محكم,"A10, H1","A10, H1, P1, O1.1, Q2.2","A10, O1.1",A10,[A10]
ar,مخالفة,"G2.1, E1, E4.1","G2.1, A5.3, X9.2","G2.1, A1.1.1, A15",G2.1,[G2.1]
ar,مختبر,"X2.4, Y1, Y2, H2","X2.4, H2, X2.2","X2.4, X2.3, X2.5, P1, A1.1.1","X2.4, X2.3, X2.2, P1, X2.5, X8, O1.1, O1.2, O1.3",[X2.4]
ar,مخصصات,"I1, I3.1, G1.1, A9, S1.1.4","A9, S1.1.4, I3.1, I1, G1.1, S3.1","S1.1.4, I1, G1.1, A9, I3.1","A9, S1.1.4","[I1, G1.1, I3.1, A9, S1.1.4]"
ar,مدرسة,"P1, H1, X2.3, X2.2","H1, Z84, P1, X2.3, X9.1, X2.2","H1, X2.3, P1, X2.4, X2.5, X5.1, X5.2","H1, X2.3, P1, X2.2","[P1, X2.3, H1]"
ar,مدمن,"F3, A1.6","F3, F2, E1, S2.2, S2.1","F3, F2, A1.1.1, S2.1, S2.2",F3,[F3]
ar,مدير,"A4, S7, S2, G1.1, I2.1, S2.2, S7.1, A4.1","A4, G1.1, S2, I2.1, A4.1, S7, S7.1, S2.2","G1.1, S2.2, I2.1, A4.1, S7, S7.1, S2, P1","S7.1, S2, S7, A4.1, I2.1","[A4.1, S7.1, S7, S2, S2.2, A4, I2.1, G1.1]"
ar,مدينة,"M7, S2, W3, H3","S2, M7, W3, H4, H3, Z2","S2, W3, M7, L1","W3, M7, S2","[W3, M7, S2]"
ar,مراقب,"X2.4, S2.2, Z3","X2.4, S2.2, P1, S5","X2.4, S2.2, A5.1, A5.2","P1, G2.1, X2.4",[X2.4]
ar,مرهق,"N5.2, E1, S8","N5.2, S2.2","N5.2, B2, B3, E4.2, E4.1",E4.2,[N5.2]
ar,مريض,"B2, E1, E4.1, S2.2, S2.1","B2, E1, S2.2, S2.1","B2, B3, B4, E4.1, E4.2, E6, E3","B2, B3",[B2]
ar,مزارع,"S2, F4, F1, Z1, Z3","S2, F4, H3, L3, F1","S2, F4, L3, L1, F1","F4, S2","[F4, S2]"
ar,مساعد,"S8, A1.5.2, E1","A1.5.2, S8, E1","A1.5.2, Z84, S8, E1","A1.5.2, S8, X8","[S8, A1.5.2]"
ar,مستحيل,"S9, A1, A12, A6.2","A12, A6.2, A1, S9","A1, A6.2, S9, A12, E1","A6.2, A1, S9, A12","[A12, A1, S9, A6.2]"
ar,مسروق,"G2.2, G2.1, E1","G2.2, G2.1, E1","G2.1, G2.2, C1, S8","G2.2, G2.1, I1.1, A1.1.1","[G2.1, G2.2]"
ar,مسمار,"H5, O2, O4.4, O1.1","H5, O2, H2","O2, H5","O2, H5","[H5, O2]"
ar,مشغول,"A1.6, I2, E3","A1.6, I2, S8, S3.1","I2, S5, S8, S2.2","T4, I3.1","[I2, A1.6]"
ar,مضحك,"O4.2, E4, K1, K6","E4, K1, O4.2, E1, E2, S5","O4.2, E4, K1, E4.1, E2, E4.2","E4.1, K4, E4","[K1, O4.2, E4]"
ar,مطر,"W4, O1.2, F4","W4, O1.2, F4, F2","W4, Z84, O1.2, A1.1.1","W4, O1.2",[W4]
ar,مظهر,"O4.2, O4.1, E2, S2.1, S2.2, H1","O4.2, O4.1, E2, S1.2.1, C1","O4.2, O4.1, S2.1, S2.2, E2, E4.1, E4.2","O4.1, O4.2, A8","[O4.1, O4.2]"
ar,معالجة,"B3, W5, A2.1, Y2","B3, W5, A2.1, Y2, B4","A2.1, B3, B2, S8, A1.1.1","B3, A2.1, B2","[A2.1, W5, B3]"
ar,معدن,"O1.1, Z84, O4.1, H2","O1.1, Z84, H2, O4.4","O1.1, H2, H5, O2","O1.1, H1",[O1.1]
