lemma	semantic_tags
شَكْل	  O4.4 X4.2 A4.1 Q1.2 O4.1 H5@ B1@ A2.1+ O2 
ثانِي	 N4 P1 N1 Z1m
أَمّا	 Z5 
وَقْت	 T1 T1.2 T1.3 T1.1.2 X7+/T1 N3.1/T1 N3  
حَقّ	 A5.2+ A5.3+ A1.2+ G2.2+ A13.3 A13.2 G1.2 Z4 A5.3+/A2.1 A5.4+ Z5 G2.1 S6+  
بَلَد	 G1.1 W3 F4/M7 K2 M7 
مُنْذُ	 T1.1.1 Z5 N4  
أَرْض	 W3 W1 O1.1 M7 A4.1 M1 M2 M5 M4 
لُغَة	 Q3 Y2 
الآنَ	 Z5 T1.1.2 Z4 
أَصْبَح	 A2.1+ O4.2+ T2+ 
طِفْل	 S2m/T3- S4m S2.2m L2m@ L2f@ T3--/S2m 
عِلْمِيّ	 Y1 P1 A1.6 P1/S2m 
أَنا	 Z8mf S1.2.3+ 
عِنْدَما	 Z5 T1.1.1 T1.3
ناس	 S2mf S2 
لَدَى	 Z5 A9+
عَرَف-ِ	 X2.2+  
عالَمِيّ	 M7 M7/S5+ K5.1 K5.1/S2m W1 S5+ A4.1 
رَجُل	 S2.2m I3.1/S2m S2 
هَل	  Z5 
نَوْع	 A4.1 A6.2+ Q1.2 S1.2.2- O4.4 O4.1 P1@ H5@ A1.8+  
نِسْبَة	 N2 N3.1 N5 I1.3 A5.1 A2.2 S5+ Q1.3 
بَحْث	 Q2.2 X2.4 P1 
حالَة	 O4.1 S6+ B2- B2+ B4 O2 B3 I3.1@ 
هُنا	 M6 T1.1.2 T1.2 Z8 Z5
صُورَة	 C1 Q4.3 X4.1 X2.1 A6.1+ A8 X3.4 S1.1.1 X4.2 M3/H3 O4.4 Q1.2 O4.1 H5@ A2.1+  
نِظام	 G1.1 S7.1+ B3 X4.2 O3 M3 Q1.3 Y2 A4.1 G2.1+  
ٱِسْتَطاع	A7+ X9+ 
عَيْن	 B1 X3.4 A11.1+/S2mf W3/F2 G3/S7.1+/S2m S5+ A11.1+/S7.1+/S2m S6+/S9 
دُونَ	 Z5 A1.8-
مِمّا	 Z5 Z8 
خاصَّة	 A14 A5.1+++  A13.3 A6.2+ A4.2+ Q4.2 Q4.3 W3 A10+ A9+ H1/H3 H1 
تارِيخ	 T1.2 T3 T1.1.1 P1/T1.1.1 Q2.1 B2 
رَئِيس	 G1.1/S7.1+/S2m S7.1+ S7.1+/S2m S7.1+/S2mf P1/S2m  A4.1 S2m K5.1 A11.1+  
عَمَلِيَّة	 A1.1.1 B3 G3 X7+ X4.2 Y2 M1 N2 
ٱِبْن	 S4m T3-- T3--/S2m S2m/T3-  
م	Z5
حَوْلَ	 Z5 A13.4 M6 
مَكان	 M7 H1 P1 I3.1 M6 N4 S1.1.1 
مُخْتَلِف	 A6.1- A6.3+ 
سِياسِيّ	 G1.2 G1.2/S2m G1.1/S2.2m 
وَصَل-ِ	 M1 N3.3 X9.1+ X9.2+ M3 A1.1.1 
مَدْرَسَة	 P1/H1 S5+ P1 
بَرْنامَج	 Y2 X7+ Q4.3 Q1.2 P1 
قُوَّة	 S7.1+ S1.2.5+ N2@ A1.1.1 O4.1 X9.1+ E3- G2.1 S5+ G3 G2.1  
مَشْرُوع	 X7+ X2.4 X2.6+ M2 O4.4 X2.1 I2.1 X8+ G2.1+ 
خِدْمَة	 S8+ S7.1- I2.2 A1.1.1 I3.1 F1 G3@ G1.1@ G2.1@ M3/M7@ 
جانِب	 A4.1 M6 B1  
عاد-ُ	 M1 M6 N6 I1.1 M3 K5.1 
دِراسَة	 P1 X2.4 H2 Q1.2 C1 
دِين	 S9 
مُجْتَمَع	 S5+ 
خاصّ	 A4.2+ A6.2- G2.1/S2m A10- S5- G1.1- G3/S2m O4.2+ A14 A1.8- A14/Q4.2 
يَد	 B1 O2 S8+ K5.2 I3.1/S2m X9.1+/S2m
حَدّ	A1.7+ M3 T2- M8 H4 S8- A1.1.1@ M7@ M6 X7+ N3.6 M7 O4.4 A4.2+ N3.7 A5.1 X9.1 S7.1 A6.1- M7/G1.1 L3/H3 
د	 Z5 
بَيْت	 H1 H4 
حِينَ	 Z5 T1.2
أَلْف	 N1 I1 N5+ 
صَغِير	 N3.2- N3.7- N5- T3- A11.1- S5-/I2.1 A5.1- S2m/T3- S4m T3-/S2m 
مَرَض	 B2- 
ت	Z5
جَعَل-َ	 A2.1 A4.1 A1.1.1 A2.2 X9.2+ X6+ S7.1+ 
مَرَّة	 N6 T1.2 T1 T1.3 T1.1.2 N1 G2.1@ T1 N6- T1.1.1 
تَعْلِيم	 P1 X2.3+ X4.1 
ٱِقْتِصادِيّ	 I2.1/S2m I1.3- I2.1  
أَراد	 X7+ S6+ A7+ S3.2  
أَكْبَر	 N3.2+/A2.1 N3.2++ N5++ A11.1++ S7.1++ T3++ T3++/S2mf A11.1+ A5.1+++ Q4.2 A5.1+ N3.2+ N5+ X5.2+ A13.3 A6.3
ر	Z5
حَرْب	 G3 S7.3 
ٱِعْتَبَر	 X2.1 X2.4 X6 S7.2+ 
ثَلاث	N1 I1 N5
جاء	 M1 T2- T1 A1.1.1 A2.1+ 
شَهْر	 T1.3 
عَلاقَة	 A2.2 S5+ A1.1.1 S1.1.1 S4mf B5 S6+ A1.7+ S4 S3.2 B1 N2
حَرَكَة	 M1 S5+ A2.1+ A1.1.1 S7.1+ G1.2
سَيّارَة	 M3/O2 M3 
مُحَمَّد	Z1m S1.2+++
وَضْع	 M2 A1.1.1 K5.1 I1.1 A3+ M6 S7.1 A4.1 A11.1 B2- B2+  
حُكْم	 X2.1 X6 G2.1 X6+ S6+ X4.2 S7.1+ Q1.2 G1.1 
مَرْكَز	 M6 H1 M7 G1.2 K5.1 M3/H1 G2.1/H1 Q4.3 S7.1@ G3/H4 S7.1+ A5.1 M7 S7.1 I3.1 N4 S1.1.1 K5.1% 
كَتَب-ُ	 Q1.2 I2.1 P1 X2.4 X2.3
نَتِيجَة	 A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2 P1 B3 
ٱِجْتِماعِيّ	 S1.1.1 I1.1/G1.1 
بَحْر	 W3/M4 
رَغْمَ	 Z5 
عَمِل-َ	 I3.1 A1.1.1 C1 X9.2+ A2.1+ A2.2 S1.1.3+ K4 A5.4- T1.1.2  
ٱِسْم	 Q2.2 
بِن	 S4m S2.2m S2m/T3- 
ثَقافَة	 C1 S1.1.1 S5+
قَرْن	 T1.3 T3 T3++ T1.3+ O2/X3.2 L2 
دَوْر	 S1.1.3+ I3.1 K4 S1.1.1 A1.1.1  A10+ S3.1- 
فِيما	 Z5 T1.3 T1.1.2 A6.1- 
وُجُود	 A3+ M6 S1.1.3+ S9 
نَظَر	 X4.1 X3.4 X2.1 X2.4 A8 S1.1.1 X2.5+ X2.3+ X3 B1 
مَرْأَة	 S2.1f 
أَمامَ	 M6 S1.1.1 Z5
أَدَّى	 M6 A10+ S1.1.1 K4 S8+ K1 O1.1 A2.2 M2 A1.1.1 X9.2+ 
رَأْي	 X2.1 X2.1/A5 X6+ X4.1 A4.1 X7+ X2.4 
حال	 O4.1 A3+  M6 I3.1@ B2- B2+ B4 P1 A4.1 O2 B3 X4.1 Q3 
وَجَب-ِ	S6+ A7+
مُسْتَوَى	 O4.4 A4.2+ N3.7 N5 S5+ A5.1 X9.1 A4.1 S7.1 A6.1- M2 A6.2+ G2.2 Q1.1 O2@ M4 
أَخِير	 N4 O2 T2++ T1.3 T3--- T4--- T3- 
أَتَى-ِ	 M1 T2- S4 N4 T1 A1.1.1 N3.3  
زال-َ	 T2- A1.1.1
مادَّة	 O1 A11.1+ A1.6 B5 O2 X2.2 S1.2 S7.1- X4.1 C1/S2mf Q3 P1 S7.1-/S2mf A1.1.1 S7.1+ Q4.2 G2.1/P1@ G2.1/P1 
بِما	 Z5 A2.2
قَضِيَّة	 G2.1 A12- X4.1 Q4.2 A9-  
جامِع	 S9/H1 A1.8+ P1 N5+ N3.6+ A4.2- N5.1+  
عاش	 L1+ A3+ H4 A3 X9.1+ A1.1.1 
وَجْه	 B1 O2 A8 S1.2.3+ X2.1 A11.1+ A4.1 A10- Q4.3 N5.1- A6.1  
إِضافَة	 N5++ N2 
مُتَّحِد	 S5+ A1.1.1 
قَوْل	 Q2.1 Q2.2 Q3 
سُوق	 I2.2 I2.2/H1 I1/I2.2/H1
آخِر	 N4 O2 T2++ T1.3 M6 T2- X7+ 
يا	 Z4  
أُمَّة	 S5+ G1.1  S2 S2mf 
كَوَّن	 A1.1.1 A2.2 E1 X2.1 X4.1 
دَرَجَة	 A13.1 N3.1 N3.2 N5 P1 A4.1 O4.2+ N5.2+ O4.2- N5++% M3 A5.1 W4 X2.5 
هُم	 Z8m 
طالِب	 P1/S2m P1/S2mf
حَضارَة	 S1.1.1 A5.1+++ O4.2+++ C1 S5+ 
مُشْكِلَة	 A12- X4.1 B2- Q4.2 S4 A2.2/A12+ 
كِتابَة	 Q1.2 I2.1 P1/Q1.2 X8+ Q4 
فَتْرَة	 T1.3 N3.8- 
مِلْيُون	 N1 I1 N5+ 
كَذٰلِكَ	 A6.1+ N5++ Z5
رِحْلَة	 M1 I3.1 N3.8+ M2 M1/M4 M1/M5 M1/M3 
مَجْلِس	 G1.1 S7.1+/S5+ O2 O1.1 H4 P1 K5.1 A1.1.1 M4 
دُوَلِيّ	 M7 M7/S5+ K5.1 K5.1/S2m W1 S5+ A4.1  
طَبِيعِيّ	 A6.2+ A9+ A5.4+ W3 W5 B1 
أَثَر	 A2.2 T1.1.1 A11.2+ X2.4 A10+ C1 Q2.1 A8 N5+ G2.1 T1.1.1/H1
عامِل	 I3.1/S2m A1.1.1 B3 I3.1 X9.2+ A2.1+ A2.2 M7/I4@ A4.1 N2 I2.1/S2mf K4/S2m N1  
سِياحَة	 M1 M7 K1
قَلِيل	 N5- N3.2- T3- N3.3- T1.3- A11.1- A13.7 S5-/I2.1 A5.1- A13.6 N3.8+ 
أَخَذ-ُ	  A9+ T1.3 A1.1.1 M2 S7.1- A2.1+ S6+ S7.4+ M1 F1@ F2@ Q1.2@ B3@ T2+ 
قَدَّم	 A9- Q2.2 I1.3- T1.1.1 A2.2 S1.1.3+ Q4.3 O4.1 K4 S1.1.1 T2+ P1 P1/Q2.1
قَدِيم	 T3+ T3++ T3+/H1
ماضِي	 Z5 T1.1.1 M6 X5.2+ X9.1+ X9.1+/I3.2 
وَهَى-ِ	A1.1.2 A1.1.1/A2.1- A2.2- A5.1-
تَحْتَ	 Z5 S7.1- B1 A13.6 M6 
عَدَم	 Z6 
فَقَط	 Z5 A14 
طَوِيل	 N3.7+ T1.3+ N3.3+ N3.2+ 
جُزْء	 N5.1- S5+ B3 Y1 C1/H1@ A1.1.1 O2 Q4 K2 K4 N5 S1.1.2+ M7 I3.1 S1.1.3+ A10+ B4 S3.1- 
عَدِيد	 N5+ 
عَبْد	 S7.1-/S2m O4.3/S2m O4.3 G2.2- 
إِذ	 Z5/A2.2 Z5 N4 
كَيْفَ	 Z5 A13.3 
مِصْر	 Z2 
داخِلَ	Z5 M6
سِياحِيّ	 M1 M7 K1 
فِكْر	 X2.1 X4.1 
لَو	 Z7 
شَيْخ	 S7.1+/S2.2m S7.1+/S2m T3+++/S2m S7.1+/S9/S2m
غَرْبِيّ	 M6 Q4.3 Q4.1 M6/S2m M6/S2mf
حَدَث-ُ	 A2.1+ A3+ X7- A1.1.1
ٱِسْتِخْدام	 A1.5.1 Q3  S7.1+ 
بِناء	 H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1 O4.1 S7.1 O2 A4.1 X4.2  
حَمَل-ِ	 A1.1.1 M2 A9+ S7.4+ B1% B2-% A8  M6 B1@ M3 M4 M5 
شَأْن	 X4.1 A11.1+ A1.1.1 S1.1.1 S7.1 A11.1 O4.1 I3.1@ S6+   
بِيئَة	 W5 W3 E1 O4.1 M6 S5+
باب	 H2 H1@ H5 G2.1/P1% Q1.4 
أَدَب	 Q4.1 Q1.2 S1.2.4 E3+
دار	 H1 P1/S5+ G1.1 H4 H4/H1 M6 M1/M6 H2
تالِي	  N4 S5+ M1 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 M6 
عُمْر	 T3 T1.3 T3++ L1+ A3+ S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1 T1.3+ 
وَضَع	 M2 Q2.1 Q2.2 A1.1.1 M7 H1 A1.2 I3.1 
قِيمَة	 A11.1+ I1.3 G2.2 A4.1 N1 A1.5.2+ S1.1.4+ N5 N2 N5+/A2.1 
نَحْنُ	 Z8 
أَهْل	 S4 A4.1 S2mf S2 S4 A4.1 A1.2+/I3.2+ A1.2+ I3.2+/P1 X9.2+/K5 S1.1.1 S1.1.4 
دِينِيّ	 S9 
تَحْقِيق	 X9.2+ A9+ X2.5+ X2.4 B3 A10+ Q2.2 G2.1/Q2.2 K5.1 
سابِق	 T2- N4 O2 Z5 T1.1.1 M6 T4++ 
رَأْس	 B1 S7.1+ M6 S7.1+ X1 A4.1 S2m H5/M4% K5.1 A2.1+ A11.1+  A11.1+++ S7.1+++ N4 X9.1+++ A5.1+++ O2 K6  A11.1++ A5.1++ L1-  
واقِع	 A5.2+ X2.2 A3+ A5.4+ A14 M1 S7.1- L1- X9.2- K5.2 M6  
أَهَمّ	 A6.3+++ E6- I2.1 A13.3 
مِصْرِيّ	 Z2/S2m Z2/S2mf Z2 
وِلايَة	 G1.1 M7 A4.1 Z2 S7.1+ M7@ G2.2 S9
إِنَّما	 Z5 A13.3 A6.1+ 
حِين	 T1 T1.2 T1.3 T1.1.2 N6 X7+/T1 Z5 
ثَقافِيّ	 C1 S1.1.1 S5+ X2 X2.1 X2.1
هَدَف	 K5.1 X7+ G2.2/S5- S1.2 G3 
حَيّ	 L1+ X5.2+ H4 I1.1 A3+ Q4.3 K2/K3 K1 O3 G3 A3 L1+% L2 S9 S2@mf T1.3 M7 
دُكْتُور	 B3/I3.2/S2m P1/S2m B3/I3.2/S2mf P1/S2mf B3 A2.1+/G2.1- B3/S2m B3/S2mf
تَجْرِبَة	 X2.4 X9.1+ X2.2 X3 I3.2 A1.1.1 Y1  
أَعْلَى	 N5+/A2.1 M2 A5.1+/A2.1 X3.2++ A9+ A1.1.1 A2.2 S1.1.1 F4 Q2.2 N3.7++ N5++ A11.1++ S7.1++ A5.1++ X3.2 G2.2++ I1.3++ O4.2-- O4.6++ S9 P1 N3.7+++ N5+++ A11.1+++ S7.1+++ A5.1+++ G2.2+++ I1.3+++ O4.2--- O4.6+++ N3.7+ N5+ A11.1+ S7.1+ A5.1+ G2.2+ I1.3+ F3 O4.2- O4.6+ 
ذ	Z5
حُرِّيَّة	 A1.7- G1.2
دائِم	 T2+++ T2++ T1.3 A2.1- S6+ N6+++  
إِنْتاج	 A1.1.1 A10+ K4 K3 Q4.3 N5 X9.2+ Q4 I4 F4
سُؤال	 Q2.2 X4.1 X2.4 
أَساس	 T2+ H2 S5+ A5.2+ A2.2 X4.2 A11.1+ 
عَنَى-ِ	 Q1.1 S1.2.2+ S1.2.1- N2  X7+ A11.1+ E6- I2.1 A1.8+ S1.1.3+ 
أَضاف	 N5+/A2.1 N2 A1.8+ A1.1.1
عِراق	 Z2 
كاتِب	 Q4.1/S2m Q1.2/S2m Q1.2 Q4.1 I2.1/S2m G1.1/S2m B3/P1 I2.1 G2.1/S2m
صاحِب	 A9+/S2m T2+/S2m S3.1/S2m I3.1/S2m I2.1/S2m
فِعْل	 A1.1.1 G2.2- X9.2+ Z5 K4 A5.4- G2.1  T1.1.2 A8  A14 G2.1/Q1.2 Q3 
مَعْلُوم	 X2.2+ A7+ X2.2/X2.4 Q1.1 
عِلاج	 B3 A1.1.1  
لِذٰلِكَ	 Z5 A2.2
أَشار	 A10+ M6 Q1.1 Q2.1 Q2.2 G2.1 
شَرْق	 M6 M7 Z2
مَوْقِع	 M6 M7 S7.1 I3.1 N4 S1.1.1 A1.1.1 Y2
أَنْتَ	 Z8m 
أُورُبِّيّ	 Z2 Z2/S2m Z2/S2mf Z3 
بَعِيد	 N3.3+ S1.2.1- A13.3 X9.2+ M7
دَخَل-ُ	 M1 S5+ T2+ A1.1.1
ساعَة	 T1.3 T1 T1.2 T1.1.2 N6 N1 K2 X7+/T1 N3.1/T1 O2/T1 N3.1 Q2.1% T1/O2 
نَشاط	 A1.1.1 K5
دَواء	 B3 X4.2  X9.2+ 
جِدّ	 A11.1+ A15- E4.1- A5.2+% A13.3
رُبَّما	 A7 A13.3 
قَلْب	 M1 M2 S7.1+ A2.1+/A6.1- M6 A6.1- B1 A11.1+ E1 X5.2+ H1c M7c G1.2c K5.1m O1 
جِهاز	 O2 Y2 S7.1 I2.2/S5+ G1.1 G1.1 H5 I2.1/H1 I2.1/H2 S7.1+ I3.1 S8+ I2.1 
عِدَّة	 N5 N5+ N6+
إِدارَة	 S7.1+ A9- G1.1 H1 I3.1 I2.1 I2.1/P1
حَصَل-ُ	 A9+ Z5 X9.2+ A2.1+ A2.2 X2.5+ A3+ X7+
أَساسِيّ	 A11.1+ A6.2+  A12+ 
وَطَنِيّ	 M7/N5.1+ M7/S2m Z3
بِدايَة	 T2+ E5- E3- 
طَرِيقَة	 X4.2 N2
فَنّ	 C1 X9.1+ A4.2+ A6.3+ A4.1 K4 P1 
أَكَّد	 Q2.2 S1.2.3+ A7+ S9@ A7+/Q2.2 
بَقِي-َ	 N5.2+ H1/T1.1.1 L1- T2++ M8 N4 O2 T1.3 
فِلَسْطِينِيّ	 Z2 Z2/S2m Z2/S2mf
كَلِمَة	 Q3 Q2.1 Q2.2 Q4.1 Q1.2
نَصّ	 Q1.2 Q4.1 Q3 
لَن	Z6
ب	 Z5  
شاعِر	 Q4.1/S2m E1 X3 X2.1 
صِناعَة	 I4 A1.1.1  I2.1 I2.2 I2.1 I3.1 I2.2/N5 C1 X9.1+ I4 
أَلَم	 B2- E2- E4.1- X3 A5.1-/A2.1 S7.4+ 
رِسالَة	 Q1.2 Q3 Q2.1 Q1.3 Q4.3 P1/Q1.2 X7+ S9 A1.1.1 
ٱِهْتِمام	 X5.1+ X5.2+ S8+ S1.1.3+ E6- A1.8+ G1.1/S8+ B3 A1.3 E2+ X7+  
عَصْر	 T1.2 T3 T1.3 T3++ T1.1.1 B1 Q3 P1/T1.3 T1.3+ A9+/S7.1+ F1 O1.2
أُمّ	 S4f A11.1+++ S4 
أَم	 Z5 
عَشَر	 N1 T3 I1 N5+
حالِيّ	 T1.1.2 A3+ A2.2 S1.1.3+ E1 T1.1.3 
وَزِير	 G1.1/S2m S9/S2m
مَعْنَى	 S1.2.6+ X2.1 A11.1+ Q3 X7+ A4.1 X3  E1 X9.1+ A8 A6.1- 
بَدا-ُ	 A8 A10+ A3+ 
تَحَدَّث	 Q2.1 Q2.2 
ذَكَر-ُ	 Q2.1 Q2.2 G2.1 X2.2+ S2m L2m
عَبْرَ	 Z5 M6 T2-  
غَرْب	 M6 Z2 M7 
شَخْص	 S2mf N5-  
أَجْل	A2.2 A2.1
قانُون	 G2.1 S6+ Y1 A1.7+/G1.1 X4.2 A6.2+ 
خارِجَ	 Z5 M6 S5- S1.1.3- 
مَمْلَكَة	 G1.1 M7/S7.1+ A4.1/L2 
قُرْآن	Q4.1/S9 S9
فَنِّيّ	 Y1 I4 X9.1 C1 Y1/S2m X9.1+/S2m
بَلَغ-ُ	 X9.1+ N3.3 M1 Q2.1 X9.2+ A9+ 
حَقِيقَة	 A5.2+ A3+ X2.2 G2.1
مِئَة	 N1 N5+ I1 T3
ضِدَّ	 Z5 A5.1- S8- 
عالِي	 N3.7+ N5+ A11.1+ S7.1+ A5.1+ X3.2 G2.2+ I1.3+ F3 O4.2+ O4.6+ S9 X9.1+ A11.1+/A2.1 N3.7+/A2.1 
جِهَة	 A4.1 M6 N5.1- S7.3+/S5+ B1 S5+ S5+ O2 M7 I3.1 K4 A10+ S7.1+ X4.2 H2 
شَعْب	 S2mf S2 G1.1 S5+
قُدْرَة	 X9.1+ N5.1+ I3.1 A7+ S7.1+ S1.2.5+ N2@ A1.1.1 I2.1 
كامِل	 N5.1+ T2- N3.2+ Q1.2 I3.2+ A11.1+ 
حاوَل	 X8+ 
شِعْر	 Q3 X2.1 E1
طَبِيعَة	 W5 A4.1 S1.2 A9+ A5.4+ W3 B1 X9.1+ 
نِهايَة	 T2- M6  O2 X7+ N4 
داخِلِيّ	 M6 A10- G1.1 H4 S4 E3+/L2 B4/S2mf H2 
ٱِنْتَهَى	T2- X7+
صَوْت	 G1.2 Q2.1 X2.1 S7.1+ Q3 K2 O4.1 B2+ A5.1+ A13.2 X3.2 Q2.2 A8  
تَعالَى	 S1.2 A2.2 X2.1 A1.1.1 I2.2/H1 S7.4+ 
عُضْو	 S5+/S2m S5+/S2mf B1 K2 Q4.2 
فَرَنْسِيّ	 Z2 Z2/S2m Z2/S2mf Z2/Q3 
مَرِيض	 B2-/S2m B2-/S2mf E3+  
تَنْمِيَة	 A2.1+ A5.1+/A2.1 H1 N3.2+/A2.1 I4 
زَمَن	 T1 T1.2 T1.3 T1.1.2 N6 K2 G2.1@ X7+/T1 N3.1/T1 T1.1.1 Q3 P1/T1.3 
خَمْس	 N1 T3 T1.2 N5+ I1
أَب	 S4m S4/T1.1.1 S2m
ٱِعْتِبار	 X2.1 X2.4 S1.2.3- S7.2+ T2+ 
دَعا-ُ	 Q2.2 S1.1.1 Q1.3 X7+ S9
ثالِث	 N4 N5 N1 
أَصْل	 T2+ X2.2 A2.2 S4 A11.1+ Q3 X2.4 G2.2 X4.1 T1.1.1 G1.1 A5.1+ Q1.2 G2.1 
نَحْوَ	 Z5 A13.4 M1
مَعْرِفَة	 X2.2+ S3.2/B1% S3.1 C1 S1.1.1 S5+ L1 P1 X2.3+ 
زاد-ِ	 N5+/A2.1 N5.2+ A1.8+ 
فَرْد	 S2mf N5-  S5+c O2 N3.1 N1 A6.1- G3 O2/N1 F1
حُكُومَة	 G1.1 S7.1+ A9- 
وَقَع-َ	M1 M6 L1- X9.2 K5.2 K5.1 
نَظَر-ُ	 X3.4 A8 X2.4 O4.1 X7+ Q2.1 X2.1 S1.1.1 X2.5+ X2.3+ X3 S3.2 S7.2+ 
ذُلّ	 S7.2- S1.1.2-
مَرْحَلَة	 T1.3 N3.8- X2.5- E5- T1.2 N5.1- A4.1 A1.1.1 A5.4- M6 K5.1 M1 B3 F1 K2% 
عِشْرُون	N1 N5+ I1 N4 T3
مُهِمّ	 A11.1+ A15- E4.1- 
